Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId,MLBAMID,playerNameASCII
2026,"Carlos Santana","ARI",4,2,0,0.666666666,0.333333333,0,0,0,0,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,2396,467793,"Carlos Santana"
2026,"Tommy Pham","2 Tms",12,1.333333333,0,0.571428571,0.428571428,0,0,0,0,0.42857143,0.14285714,0.42857143,0.14285714,0.28571429,0.57142857,2967,502054,"Tommy Pham"
2026,"Giancarlo Stanton","NYY",30,0.75,0.125,0.375,0.5,0.125,0.125,0.166666666,0,0.5625,0.25,0.1875,0.1875,0.375,0.4375,4949,519317,"Giancarlo Stanton"
2026,"Andrew Velazquez","KCR",4,2,0,1,0,0,0,0,0,0.33333333,0.66666667,0,0.33333333,0.66666667,0,14196,623205,"Andrew Velazquez"
2026,"Sandy León","ATL",20,1.5,0.166666666,0.5,0.333333333,0.5,0,0,0,0.66666667,0.08333333,0.25,0.41666667,0.58333333,0,5273,506702,"Sandy Leon"
2026,"Trey Mancini","LAA",4,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,1,15149,641820,"Trey Mancini"
2026,"Freddie Freeman","LAD",202,1.82051282,0.236111111,0.493055555,0.270833333,0,0.128205128,0.056338028,0,0.34027778,0.38888889,0.27083333,0.09722222,0.56944444,0.33333333,5361,518692,"Freddie Freeman"
2026,"Reese McGuire","CHW",3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,15674,624512,"Reese McGuire"
2026,"Jose Altuve","HOU",126,1.178571428,0.26506024,0.397590361,0.337349397,0.107142857,0.107142857,0.09090909,0,0.43529412,0.43529412,0.12941176,0.15294118,0.55294118,0.29411765,5417,514888,"Jose Altuve"
2026,"Rowdy Tellez","ATL",2,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0.5,15679,642133,"Rowdy Tellez"
2026,"Kyle Higashioka","TEX",54,0.4,0.2,0.228571428,0.571428571,0.15,0.15,0,0,0.42857143,0.25714286,0.31428571,0.2,0.51428571,0.28571429,5517,543309,"Kyle Higashioka"
2026,"Aramis Garcia","ARI",3,0.5,0,0.333333333,0.666666666,0,0.5,0,0,0.33333333,0.66666667,0,0,0.33333333,0.66666667,16925,605244,"Aramis Garcia"
2026,"Salvador Perez","KCR",166,0.788461538,0.243902439,0.333333333,0.422764227,0.038461538,0.076923076,0,0,0.47154472,0.28455285,0.24390244,0.09756098,0.50406504,0.39837398,7304,521692,"Salvador Perez"
2026,"Vimael Machín","COL",2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,17684,605353,"Vimael Machin"
2026,"Travis d'Arnaud","LAA",42,1.1,0.125,0.458333333,0.416666666,0,0.1,0.181818181,0,0.375,0.375,0.25,0.20833333,0.66666667,0.125,7739,518595,"Travis d'Arnaud"
2026,"Scott Kingery","CHC",2,0,0,0,1,0,0,0,0,0.5,0,0.5,0,1,0,17975,664068,"Scott Kingery"
2026,"Miguel Rojas","LAD",150,1.020833333,0.211382113,0.398373983,0.390243902,0.145833333,0.0625,0.040816326,0,0.38211382,0.39837398,0.2195122,0.15447154,0.4796748,0.36585366,7802,500743,"Miguel Rojas"
2026,"P.J. Higgins","CIN",4,0,0,0,1,0,0,0,0,0.33333333,0.33333333,0.33333333,0,1,0,18433,664731,"P.J. Higgins"
2026,"Paul Goldschmidt","NYY",174,1.209302325,0.194915254,0.440677966,0.364406779,0.093023255,0.255813953,0.057692307,0,0.34745763,0.36440678,0.28813559,0.12711864,0.50847458,0.36440678,9218,502671,"Paul Goldschmidt"
2026,"Rudy Martin Jr.","TOR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18582,657675,"Rudy Martin Jr."
2026,"Starling Marte","KCR",126,1.642857142,0.108433734,0.554216867,0.337349397,0.035714285,0.035714285,0.065217391,1,0.30588235,0.4,0.29411765,0.21176471,0.51764706,0.27058824,9241,516782,"Starling Marte"
2026,"Nick Solak","SDP",7,1,0,0.5,0.5,0,0,0,0,0.33333333,0.5,0.16666667,0.16666667,0.33333333,0.5,19294,669256,"Nick Solak"
2026,"Christian Vázquez","HOU",63,0.761904761,0.177777777,0.355555555,0.466666666,0.095238095,0.047619047,0,0,0.3125,0.41666667,0.27083333,0.14583333,0.625,0.22916667,9774,543877,"Christian Vazquez"
2026,"Daniel Johnson","HOU",4,1,0,0.5,0.5,0,0,0,0,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,19643,669288,"Daniel Johnson"
2026,"Nolan Arenado","ARI",149,0.847826086,0.182692307,0.375,0.442307692,0.130434782,0.195652173,0.025641025,0,0.52884615,0.28846154,0.18269231,0.16346154,0.52884615,0.30769231,9777,571448,"Nolan Arenado"
2026,"Pavin Smith","ARI",6,1.5,0,0.6,0.4,0,0,0,0,0.6,0.2,0.2,0,0.8,0.2,19892,656976,"Pavin Smith"
2026,"Andrew McCutchen","TEX",50,0.347826086,0.114285714,0.228571428,0.657142857,0.173913043,0.04347826,0.125,0,0.28571429,0.54285714,0.17142857,0.25714286,0.54285714,0.2,9847,457705,"Andrew McCutchen"
2026,"Luke Williams","ATL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19931,663897,"Luke Williams"
2026,"Mike Trout","LAA",167,0.795454545,0.177083333,0.364583333,0.458333333,0.045454545,0.113636363,0.085714285,0,0.30208333,0.4375,0.26041667,0.17708333,0.42708333,0.39583333,10155,545361,"Mike Trout"
2026,"Jared Oliva","SFG",2,2,0,1,0,0,0,0.5,0,1,0,0,0,0.5,0.5,19968,666931,"Jared Oliva"
2026,"Randal Grichuk","2 Tms",159,0.528301886,0.27027027,0.252252252,0.477477477,0.150943396,0.16981132,0.107142857,0,0.4954955,0.24324324,0.26126126,0.18918919,0.36936937,0.44144144,10243,545341,"Randal Grichuk"
2026,"Miles Mastrobuoni","SEA",2,1,0,1,0,0,0,0,0,0,0.5,0.5,0,1,0,20017,670156,"Miles Mastrobuoni"
2026,"Marcell Ozuna","PIT",103,0.758620689,0.215384615,0.338461538,0.446153846,0.206896551,0.137931034,0.136363636,0,0.38461538,0.38461538,0.23076923,0.13846154,0.52307692,0.33846154,10324,542303,"Marcell Ozuna"
2026,"Dylan Carlson","CHC",3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,20126,666185,"Dylan Carlson"
2026,"Enrique Hernández","LAD",46,0.833333333,0.185185185,0.37037037,0.444444444,0.166666666,0.166666666,0,0,0.18518519,0.51851852,0.2962963,0.11111111,0.62962963,0.25925926,10472,571771,"Enrique Hernandez"
2026,"Brewer Hicklen","ATL",4,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0,1,20450,676551,"Brewer Hicklen"
2026,"Gary Sánchez","MIL",116,1.068965517,0.189189189,0.418918918,0.391891891,0.172413793,0.172413793,0.032258064,0,0.48648649,0.25675676,0.25675676,0.18918919,0.41891892,0.39189189,11442,596142,"Gary Sanchez"
2026,"Vidal Bruján","NYM",4,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.25,0.25,0.5,20536,660644,"Vidal Brujan"
2026,"Christian Yelich","MIL",123,2.2,0.157894736,0.578947368,0.263157894,0.05,0.1,0.068181818,0.5,0.32051282,0.34615385,0.33333333,0.16666667,0.47435897,0.35897436,11477,592885,"Christian Yelich"
2026,"Logan Porter","LAA",5,1,0.5,0.5,0,0,0,0,0,0,1,0,0,1,0,20626,682515,"Logan Porter"
2026,"Manny Machado","SDP",157,0.836734693,0.181818181,0.372727272,0.445454545,0.122448979,0.102040816,0.024390243,0,0.43636364,0.29090909,0.27272727,0.11818182,0.47272727,0.40909091,11493,592518,"Manny Machado"
2026,"Hayden Senger","NYM",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21489,663584,"Hayden Senger"
2026,"Bryce Harper","PHI",249,1.087719298,0.179310344,0.427586206,0.393103448,0.017543859,0.070175438,0.048387096,1,0.3877551,0.32653061,0.28571429,0.12244898,0.51020408,0.36734694,11579,547180,"Bryce Harper"
2026,"Luken Baker","ARI",3,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0.5,0.5,21497,663609,"Luken Baker"
2026,"Willson Contreras","BOS",140,0.65116279,0.174418604,0.325581395,0.5,0.116279069,0.162790697,0.214285714,0,0.55813953,0.22093023,0.22093023,0.1627907,0.47674419,0.36046512,11609,575929,"Willson Contreras"
2026,"César Salazar","HOU",5,3,0.2,0.6,0.2,0,0,0,0,0.4,0.4,0.2,0,0.6,0.4,21587,663967,"Cesar Salazar"
2026,"Elias Díaz","2 Tms",96,0.75,0.188405797,0.347826086,0.463768115,0.1875,0.1875,0,0,0.44285714,0.3,0.25714286,0.24285714,0.44285714,0.31428571,11680,553869,"Elias Diaz"
2026,"Jair Camargo","ATL",2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,21730,665856,"Jair Camargo"
2026,"Nick Castellanos","SDP",34,0.583333333,0.208333333,0.291666666,0.5,0,0.083333333,0.142857142,0,0.54166667,0.33333333,0.125,0.25,0.45833333,0.29166667,11737,592206,"Nick Castellanos"
2026,"Will Benson","CIN",1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,21853,666181,"Will Benson"
2026,"J.T. Realmuto","PHI",112,0.694444444,0.2375,0.3125,0.45,0.111111111,0.055555555,0,0,0.4625,0.25,0.2875,0.0875,0.5125,0.4,11739,592663,"J.T. Realmuto"
2026,"George Valera","CLE",2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,22541,671655,"George Valera"
2026,"Joc Pederson","TEX",36,1.6,0.235294117,0.470588235,0.294117647,0.2,0.2,0,0,0.47058824,0.29411765,0.23529412,0.23529412,0.47058824,0.29411765,11899,592626,"Joc Pederson"
2026,"Gustavo Campero","LAA",5,0.333333333,0,0.25,0.75,0.666666666,0,0,0,0.25,0.25,0.5,0.75,0,0.25,22707,672569,"Gustavo Campero"
2026,"Max Kepler","ARI",12,1,0.555555555,0.222222222,0.222222222,0,0,0,0,0.22222222,0.77777778,0,0,0.55555556,0.44444444,12144,596146,"Max Kepler"
2026,"Steward Berroa","PHI",5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,22766,672642,"Steward Berroa"
2026,"Xander Bogaerts","SDP",154,1.882352941,0.162393162,0.547008547,0.29059829,0,0.029411764,0.078125,0,0.35042735,0.41025641,0.23931624,0.11111111,0.4957265,0.39316239,12161,593428,"Xander Bogaerts"
2026,"Blake Hunt","SDP",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23209,675448,"Blake Hunt"
2026,"Marcus Semien","NYM",137,0.627906976,0.239130434,0.29347826,0.467391304,0.069767441,0.069767441,0.111111111,0,0.4673913,0.2826087,0.25,0.10869565,0.52173913,0.36956522,12533,543760,"Marcus Semien"
2026,"Will Banfield","CIN",2,1,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,1,0,23790,677943,"Will Banfield"
2026,"Eugenio Suárez","CIN",121,0.73076923,0.196428571,0.339285714,0.464285714,0.076923076,0.23076923,0,0,0.41071429,0.33928571,0.25,0.10714286,0.46428571,0.42857143,12552,553993,"Eugenio Suarez"
