Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId,MLBAMID,playerNameASCII
2026,"Carlos Santana","ARI",22,0.25,0.23076923,0.153846153,0.615384615,0.125,0,0,0,0.46153846,0.30769231,0.23076923,0.23076923,0.38461538,0.38461538,2396,467793,"Carlos Santana"
2026,"Tommy Pham","NYM",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2967,502054,"Tommy Pham"
2026,"Giancarlo Stanton","NYY",66,0.571428571,0.266666666,0.266666666,0.466666666,0.238095238,0.095238095,0,0,0.37777778,0.42222222,0.2,0.15555556,0.55555556,0.28888889,4949,519317,"Giancarlo Stanton"
2026,"Miles Mikolas","WSN",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9803,571945,"Miles Mikolas"
2026,"Sandy León","ATL",24,1,0.142857142,0.428571428,0.428571428,0,0,0,0,0.64285714,0.28571429,0.07142857,0.14285714,0.57142857,0.28571429,5273,506702,"Sandy Leon"
2026,"Joey Meneses","ATH",9,0.666666666,0,0.4,0.6,0.333333333,0,0,0,0.6,0,0.4,0.4,0.2,0.4,14366,608841,"Joey Meneses"
2026,"Freddie Freeman","LAD",418,1.104761904,0.26578073,0.385382059,0.348837209,0.047619047,0.104761904,0.017241379,0,0.36212625,0.34883721,0.28903654,0.12956811,0.46843854,0.40199336,5361,518692,"Freddie Freeman"
2026,"Jose Altuve","HOU",405,1.376237623,0.183673469,0.472789115,0.343537414,0.178217821,0.118811881,0.100719424,0.5,0.51677852,0.32550336,0.15771812,0.19127517,0.54362416,0.26510067,5417,514888,"Jose Altuve"
2026,"Rowdy Tellez","ATL",9,0.333333333,0.2,0.2,0.6,0,0.333333333,0,0,0.2,0.4,0.4,0,0.4,0.6,15679,642133,"Rowdy Tellez"
2026,"Kyle Higashioka","TEX",132,0.857142857,0.197530864,0.37037037,0.432098765,0.085714285,0.114285714,0.033333333,0.5,0.36144578,0.5060241,0.13253012,0.09638554,0.6626506,0.24096386,5517,543309,"Kyle Higashioka"
2026,"Scott Kingery","CHC",2,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0,17975,664068,"Scott Kingery"
2026,"Salvador Perez","KCR",428,0.977272727,0.186915887,0.401869158,0.411214953,0.106060606,0.113636363,0.038759689,0,0.42367601,0.3364486,0.23987539,0.13395639,0.49221184,0.37383178,7304,521692,"Salvador Perez"
2026,"Travis d'Arnaud","LAA",35,1.222222222,0.09090909,0.5,0.409090909,0.111111111,0,0,0,0.27272727,0.5,0.22727273,0.13636364,0.59090909,0.27272727,7739,518595,"Travis d'Arnaud"
2026,"Daz Cameron","TOR",4,0,0.666666666,0,0.333333333,0,0,0,0,0,0,1,0,1,0,18353,663662,"Daz Cameron"
2026,"Miguel Rojas","LAD",83,1.391304347,0.153846153,0.492307692,0.353846153,0.217391304,0,0.0625,0,0.31428571,0.41428571,0.27142857,0.22857143,0.55714286,0.21428571,7802,500743,"Miguel Rojas"
2026,"Rudy Martin Jr.","TOR",2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,18582,657675,"Rudy Martin Jr."
2026,"Paul Goldschmidt","NYY",190,1.12,0.184615384,0.43076923,0.384615384,0.18,0.14,0.107142857,0,0.33846154,0.36923077,0.29230769,0.24615385,0.5,0.25384615,9218,502671,"Paul Goldschmidt"
2026,"Andy Ibáñez","ATH",2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,18819,628451,"Andy Ibanez"
2026,"Starling Marte","KCR",42,1.625,0.275862068,0.448275862,0.275862068,0.25,0.125,0,0,0.37931034,0.55172414,0.06896552,0.17241379,0.37931034,0.44827586,9241,516782,"Starling Marte"
2026,"José Azócar","ATL",6,2,0,0.666666666,0.333333333,0,0,0,1,0.25,0.5,0.25,0.25,0.5,0.25,18821,640492,"Jose Azocar"
2026,"Christian Vázquez","HOU",197,1.129629629,0.154411764,0.448529411,0.397058823,0.129629629,0.111111111,0.049180327,0.166666666,0.32394366,0.37323944,0.3028169,0.14084507,0.63380282,0.22535211,9774,543877,"Christian Vazquez"
2026,"Nick Solak","SDP",3,1,0.5,0.5,0,0,0,1,0,0.5,0,0.5,0.5,0,0.5,19294,669256,"Nick Solak"
2026,"Nolan Arenado","ARI",410,0.821705426,0.169611307,0.374558303,0.455830388,0.224806201,0.131782945,0.037735849,0,0.50530035,0.32862191,0.16607774,0.24381625,0.4770318,0.27915194,9777,571448,"Nolan Arenado"
2026,"Cristian Pache","NYM",4,1,0,0.5,0.5,1,0,0,0,0.5,0,0.5,0.5,0,0.5,19948,665506,"Cristian Pache"
2026,"Andrew McCutchen","TEX",33,2.75,0.117647058,0.647058823,0.235294117,0,0,0.181818181,0,0.52941176,0.23529412,0.23529412,0.11764706,0.47058824,0.41176471,9847,457705,"Andrew McCutchen"
2026,"Jared Oliva","SFG",5,0.5,0.25,0.25,0.5,0,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,19968,666931,"Jared Oliva"
2026,"Mike Trout","LAA",430,0.757009345,0.2,0.344680851,0.455319148,0.074766355,0.14953271,0.086419753,0,0.39574468,0.35319149,0.25106383,0.14893617,0.45957447,0.39148936,10155,545361,"Mike Trout"
2026,"Dylan Carlson","CHC",1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,20126,666185,"Dylan Carlson"
