Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Daulton Varsho",2026,"FA,FC,SI,CH,SL,CU",477,0.26136363636363635,0.3977272727272727,0.3409090909090909,0.3333333333333333,0.03333333333333333,319,158,477,2.3714465249475887,3.9515247357442354,8.207759488050314,"Daulton Varsho","19918",662139
"Anthony Volpe",2026,"FA,FC,FS,SI,CH,SL,CU",347,0.27419354838709675,0.43548387096774194,0.2903225806451613,0.16666666666666666,0.05555555555555555,212,135,347,3.295874046397694,4.271462764841498,8.906401351585016,"Anthony Volpe","27647",683011
"Willi Castro",2026,"FA,FC,FS,SI,CH,SL,CU,KC,EP",638,0.15178571428571427,0.4642857142857143,0.38392857142857145,0.32558139534883723,0.09302325581395349,451,187,638,3.1560832292006276,3.7650666746081494,7.933957268025077,"Willi Castro","17338",650489
"Ozzie Albies",2026,"FA,FC,FS,SI,CH,SL,CU,KC",743,0.2669902912621359,0.3640776699029126,0.36893203883495146,0.21052631578947367,0.10526315789473684,521,222,743,3.324860568371466,3.165372762718708,8.376204348586814,"Ozzie Albies","16556",645277
"Michael Harris II",2026,"FA,FC,FS,SI,CH,SL,CU,KC",690,0.2751677852348993,0.44966442953020136,0.2751677852348993,0.2926829268292683,0.1951219512195122,486,204,690,2.1826537139130444,3.5094379184057973,8.39263240434783,"Michael Harris II","25931",671739
"James Wood",2026,"FA,FC,FS,SI,CH,SL,CU,KC",763,0.205607476635514,0.5420560747663551,0.2523364485981308,0.18518518518518517,0.3333333333333333,474,289,763,2.3127172635648754,3.4302326939711647,8.110946851900396,"James Wood","29518",695578
"Keibert Ruiz",2026,"FA,FC,FS,SI,CH,SL,CU,KC",305,0.18309859154929578,0.5352112676056338,0.28169014084507044,0.3,0.15,206,99,305,3.1980039711475414,3.3024374996721315,8.20237219245902,"Keibert Ruiz","19610",660688
"Dylan Crews",2026,"FA,FC,FS,SI,CH,SL,CU,KC",445,0.24358974358974358,0.358974358974359,0.3974358974358974,0.16129032258064516,0.1935483870967742,278,167,445,3.628650779411235,4.445928136638202,8.300297750561796,"Dylan Crews","33541",686611
"Brandon Lowe",2026,"FA,FC,SI,CH,SL,CU,KC",726,0.19801980198019803,0.37623762376237624,0.42574257425742573,0.18604651162790697,0.13953488372093023,491,235,726,1.6996663143250688,3.162471964738293,7.606008674931132,"Brandon Lowe","18882",664040
"Josh Bell",2026,"FA,FC,FS,SI,CH,SL,CU,KC",695,0.22962962962962963,0.3925925925925926,0.37777777777777777,0.21568627450980393,0.09803921568627451,439,256,695,4.062384276158271,3.9051427959712233,8.78088780431655,"Josh Bell","13145",605137
"Austin Martin",2026,"FA,FC,FS,SI,CH,SL,CU,KC",611,0.2727272727272727,0.3939393939393939,0.3333333333333333,0.18181818181818182,0.06060606060606061,333,278,611,3.9103479670703756,4.681483306382977,9.04523537643208,"Austin Martin","27462",668885
"Kody Clemens",2026,"FA,FC,FS,SI,CH,SL,CU,EP",511,0.16304347826086957,0.5,0.33695652173913043,0.1935483870967742,0.16129032258064516,332,179,511,2.341541363992172,3.85098647925636,8.241203735812132,"Kody Clemens","20572",665019
"Matt Chapman",2026,"FA,FC,FS,SI,CH,SL,CU",391,0.3220338983050847,0.3220338983050847,0.3559322033898305,0.38095238095238093,0.09523809523809523,234,157,391,3.526401196675191,3.72864741112532,8.821045585677748,"Matt Chapman","16505",656305
"Cole Young",2026,"FA,FC,FS,SI,CH,SL,CU,KC",721,0.17164179104477612,0.5149253731343284,0.31343283582089554,0.19047619047619047,0.07142857142857142,473,248,721,2.740354723300971,4.541968715575589,8.595385475728156,"Cole Young","31680",702284
"Corbin Carroll",2026,"FA,FC,FS,SI,CH,SL,CU,KC",736,0.224,0.464,0.312,0.20512820512820512,0.1282051282051282,449,287,736,3.101524713641305,4.177815571834239,8.293647251358697,"Corbin Carroll","25878",682998
"William Contreras",2026,"FA,FC,FS,SI,CH,SL,CU,KC",633,0.25833333333333336,0.4083333333333333,0.3333333333333333,0.25,0.1,393,240,633,3.590244646413903,3.653801844707742,8.39427060979463,"William Contreras","20503",661388
"Brice Turang",2026,"FA,FC,FS,SI,CH,SL,CU,KC",773,0.22522522522522523,0.5765765765765766,0.1981981981981982,0.09090909090909091,0.045454545454545456,479,294,773,3.0186743958667535,4.212335725743855,8.121868902975422,"Brice Turang","22186",668930
"Teoscar Hernández",2026,"FA,FC,FS,SI,CH,SL,CU,KC",507,0.1951219512195122,0.4146341463414634,0.3902439024390244,0.09375,0.1875,305,202,507,4.152371179743589,3.794158783313609,8.633096877712031,"Teoscar Hernandez","13066",606192
"Brayan Rocchio",2026,"FA,FC,FS,SI,CH,SL,CU,KC",629,0.234375,0.4140625,0.3515625,0.15555555555555556,0.08888888888888889,428,201,629,3.617011677106516,3.7848875388871233,8.561722604133548,"Brayan Rocchio","23690",677587
"Munetaka Murakami",2026,"FA,FC,FS,SI,CH,SL,CU,KC",652,0.23809523809523808,0.3492063492063492,0.4126984126984127,0.19230769230769232,0.23076923076923078,380,272,652,1.663474185552147,3.5443057027607345,7.924912740797548,"Munetaka Murakami","37120",808959
"Seiya Suzuki",2026,"FA,FC,FS,SI,CH,SL,CU,KC",648,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.2571428571428571,0.22857142857142856,375,273,648,3.3991456464506187,3.5191738943518533,8.498569186728396,"Seiya Suzuki","30116",673548
"Mike Trout",2026,"FA,FC,SI,CH,SL,CU,KC",660,0.2159090909090909,0.36363636363636365,0.42045454545454547,0.16216216216216217,0.13513513513513514,393,267,660,3.795046077712121,5.730872771212121,9.291376131818181,"Mike Trout","10155",545361
"Jonny DeLuca",2026,"FA,FC,FS,SI,CH,SL,CU,KC",474,0.23157894736842105,0.43157894736842106,0.3368421052631579,0.375,0.0625,323,151,474,4.134278788590717,4.676681170464136,8.981520147679326,"Jonny DeLuca","26365",676356
"Ben Williamson",2026,"FA,FC,FS,SI,CH,SL,CU,KC",478,0.28888888888888886,0.5222222222222223,0.18888888888888888,0.23529411764705882,0.058823529411764705,321,157,478,3.7207116094142267,4.330536698953974,8.906267278242682,"Ben Williamson","33197",810938
"Iván Herrera",2026,"FA,FC,FS,SI,CH,SL,CU,KC",857,0.2846153846153846,0.38461538461538464,0.33076923076923076,0.3488372093023256,0.11627906976744186,508,349,857,3.224477614259043,3.4117596603267217,8.421080291715288,"Ivan Herrera","20599",671056
"TJ Rumfield",2026,"FA,FC,FS,SI,CH,SL,CU,KC",628,0.19230769230769232,0.5076923076923077,0.3,0.15384615384615385,0.10256410256410256,386,242,628,2.068478152834395,3.7320266932786628,7.243865404458598,"TJ Rumfield","29805",681198
"Zach Neto",2026,"FA,FC,FS,SI,CH,SL,CU,KC,EP",651,0.25471698113207547,0.3018867924528302,0.44339622641509435,0.19148936170212766,0.1276595744680851,414,237,651,3.435980653149002,3.781313460368664,8.619909313364055,"Zach Neto","31347",687263
"Victor Caratini",2026,"FA,FC,FS,SI,CH,SL,CU,KC",424,0.296875,0.375,0.328125,0.19047619047619047,0.09523809523809523,282,142,424,3.3582276276179237,4.324735820754717,8.641731896226416,"Victor Caratini","14968",605170
