Name,Season,Pitch,Pitches,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,NameASCII,PlayerId,MLBAMID
"Jakob Marsee",2026,"FA,FC,SI,CH,SL,CU",522,0.264,0.4889705882352941,0.38122605363984674,0.4696969696969697,0.8796992481203008,0.7437185929648241,0.5210727969348659,0.09770114942528736,-0.019004599999998872,-0.003640727969348443,"Jakob Marsee","31370",805300
"Logan O'Hoppe",2026,"FA,FC,SI,CH,SL,CU,KC",310,0.38095238095238093,0.6197183098591549,0.49032258064516127,0.5625,0.8977272727272727,0.756578947368421,0.45806451612903226,0.11935483870967742,1.858492500000001,0.5995137096774197,"Logan O'Hoppe","24729",681351
"Sam Antonacci",2026,"FA,FC,FS,SI,CH,SL,CU,KC",437,0.2383177570093458,0.547085201793722,0.39588100686498856,0.7647058823529411,0.9180327868852459,0.8728323699421965,0.5102974828375286,0.05034324942791762,1.82443,0.41748970251716244,"Sam Antonacci","35101",803011
"Michael Massey",2026,"FA,FC,FS,SI,CH,SL,CU",343,0.38311688311688313,0.6243386243386243,0.5160349854227405,0.5084745762711864,0.8728813559322034,0.751412429378531,0.5510204081632653,0.1282798833819242,-3.3259539000000014,-0.9696658600583095,"Michael Massey","27684",686681
"Lane Thomas",2026,"FA,FC,FS,SI,CH,SL,CU",672,0.1893491124260355,0.6197604790419161,0.40327380952380953,0.59375,0.8309178743961353,0.7749077490774908,0.49702380952380953,0.09077380952380952,-6.460039800000003,-0.961315446428572,"Lane Thomas","16939",657041
"Max Muncy",2026,"FA,FC,FS,SI,CH,SL,CU,KC",495,0.3291139240506329,0.6085271317829457,0.47474747474747475,0.38461538461538464,0.8662420382165605,0.7063829787234043,0.5212121212121212,0.1393939393939394,-3.8031293000000024,-0.76830894949495,"Max Muncy","13301",571970
"Luis Arraez",2026,"FA,FC,FS,SI,CH,SL,CU,KC",692,0.32653061224489793,0.628140703517588,0.5,0.84375,0.936,0.9104046242774566,0.5751445086705202,0.044797687861271675,-3.1123711000000016,-0.44976460982658983,"Luis Arraez","18568",650333
"Riley Greene",2026,"FA,FC,SI,CH,SL,CU,KC",742,0.271505376344086,0.6243243243243243,0.4474393530997305,0.504950495049505,0.8225108225108225,0.7259036144578314,0.49865229110512127,0.12264150943396226,-4.676191499999995,-0.6302144878706193,"Riley Greene","25976",682985
"Ben Rice",2026,"FA,FC,FS,SI,CH,SL,CU,KC",807,0.28720626631853785,0.6014150943396226,0.45229244114002476,0.509090909090909,0.8352941176470589,0.736986301369863,0.5254027261462205,0.11895910780669144,-3.763067099999999,-0.4663032342007434,"Ben Rice","29576",700250
"Pete Alonso",2026,"FA,FC,FS,SI,CH,SL,CU,KC",815,0.2707317073170732,0.6765432098765433,0.4723926380368098,0.5315315315315315,0.8357664233576643,0.7480519480519481,0.49693251533742333,0.11901840490797547,-2.356250399999996,-0.2891104785276069,"Pete Alonso","19251",624413
"Andruw Monasterio",2026,"FA,FC,FS,SI,CH,SL,CU,KC",561,0.23938223938223938,0.6854304635761589,0.47950089126559714,0.6774193548387096,0.893719806763285,0.8438661710037175,0.5383244206773619,0.0748663101604278,-1.3767886999999994,-0.2454168805704099,"Andruw Monasterio","19455",655316
"Jarren Duran",2026,"FA,FC,SI,CH,SL,CU",468,0.3108108108108108,0.6544715447154471,0.49145299145299143,0.391304347826087,0.8260869565217391,0.6956521739130435,0.5256410256410257,0.14957264957264957,2.7529781,0.5882431837606837,"Jarren Duran","24617",680776
"Alec Burleson",2026,"FA,FC,FS,SI,CH,SL,CU,KC",682,0.373134328358209,0.7118155619596542,0.5454545454545454,0.664,0.8582995951417004,0.793010752688172,0.5087976539589443,0.11290322580645161,12.605607200000003,1.8483295014662762,"Alec Burleson","27615",676475
"Michael Harris II",2026,"FA,FC,FS,SI,CH,SL,CU,KC",741,0.4289544235924933,0.6521739130434783,0.5398110661268556,0.575,0.925,0.785,0.4966261808367072,0.11605937921727395,-5.478479299999998,-0.7393359379217271,"Michael Harris II","25931",671739
"Mauricio Dubón",2026,"FA,FC,FS,SI,CH,SL,CU,KC",708,0.35082872928176795,0.7341040462427746,0.538135593220339,0.7952755905511811,0.9409448818897638,0.8923884514435696,0.4887005649717514,0.05790960451977401,4.9778571000000005,0.7030871610169492,"Mauricio Dubon","16530",643289
"Otto Lopez",2026,"FA,FC,FS,SI,CH,SL,CU,KC",600,0.3161512027491409,0.6148867313915858,0.47,0.5978260869565217,0.9368421052631579,0.8262411347517731,0.515,0.08166666666666667,-8.344150200000001,-1.3906917000000003,"Otto Lopez","19608",672640
"Jorge Mateo",2026,"FA,FC,FS,SI,CH,SL,CU,KC",289,0.4520547945205479,0.6573426573426573,0.5536332179930796,0.5151515151515151,0.8723404255319149,0.725,0.49480968858131485,0.1522491349480969,4.388002700000001,1.5183400346020766,"Jorge Mateo","17273",622761
"Andrés Giménez",2026,"FA,FC,SI,CH,SL,CU,KC",472,0.4473684210526316,0.6516393442622951,0.5529661016949152,0.6568627450980392,0.8805031446540881,0.7931034482758621,0.5169491525423728,0.11440677966101695,3.1027486000000013,0.657361991525424,"Andres Gimenez","19950",665926
"Zack Gelof",2026,"FA,FC,FS,SI,CH,SL,CU,KC",413,0.2303370786516854,0.6978723404255319,0.4963680387409201,0.4878048780487805,0.7804878048780488,0.7219512195121951,0.5690072639225182,0.13801452784503632,-3.1221654999999995,-0.7559722760290556,"Zack Gelof","29766",680869
"Xavier Edwards",2026,"FA,FC,SI,CH,SL,CU,KC",542,0.2673992673992674,0.6022304832713755,0.43357933579335795,0.726027397260274,0.8703703703703703,0.825531914893617,0.496309963099631,0.07564575645756458,2.052794800000001,0.3787444280442806,"Xavier Edwards","22266",669364
