Name,Season,Pitch,Pitches,S-Swing%,S-Contact%,S-Zone%,SI-Swing%,SI-Contact%,SI-Zone%,SO-Swing%,SO-Contact%,SO-Zone%,NameASCII,PlayerId,MLBAMID
"A.J. Ewing",2026,"FA,FC,FS,SI,CH,SL,CU,KC",448,0.4588235294117647,0.7051282051282052,0.3794642857142857,0.5952380952380952,0.66,0.1875,0.32558139534883723,0.7857142857142857,0.19196428571428573,"A.J. Ewing","33656",805999
"Cal Raleigh",2026,"FA,FC,FS,SI,CH,SL,CU,KC",649,0.5663082437275986,0.6772151898734177,0.4283513097072419,0.5984848484848485,0.7215189873417721,0.20184899845916796,0.5374149659863946,0.6329113924050633,0.22650231124807396,"Cal Raleigh","21534",663728
"Pete Alonso",2026,"FA,FC,FS,SI,CH,SL,CU,KC",738,0.543859649122807,0.6967741935483871,0.3861788617886179,0.6223776223776224,0.7640449438202247,0.1937669376693767,0.4647887323943662,0.6060606060606061,0.19241192411924118,"Pete Alonso","19251",624413
"Jake McCarthy",2026,"FA,FC,FS,SI,CH,SL,CU,KC",441,0.6878306878306878,0.7923076923076923,0.42630385487528344,0.7623762376237624,0.8701298701298701,0.2290249433106576,0.6022727272727273,0.6792452830188679,0.19727891156462585,"Jake McCarthy","21622",664983
"Yordan Alvarez",2026,"FA,FC,FS,SI,CH,SL,CU,KC",567,0.5829787234042553,0.8394160583941606,0.4144620811287478,0.6287878787878788,0.9518072289156626,0.2328042328042328,0.5242718446601942,0.6666666666666666,0.18165784832451498,"Yordan Alvarez","19556",670541
"Seiya Suzuki",2026,"FA,FC,FS,SI,CH,SL,CU,KC",612,0.4329501915708812,0.8407079646017699,0.4264705882352941,0.5298507462686567,0.9154929577464789,0.21895424836601307,0.33070866141732286,0.7142857142857143,0.20751633986928106,"Seiya Suzuki","30116",673548
"Pete Crow-Armstrong",2026,"FA,FC,FS,SI,CH,SL,CU,KC",824,0.4804804804804805,0.76875,0.404126213592233,0.5418994413407822,0.8350515463917526,0.21723300970873785,0.4090909090909091,0.6666666666666666,0.18689320388349515,"Pete Crow-Armstrong","27769",691718
"Luke Keaschall",2026,"FA,FC,FS,SI,CH,SL,CU,KC",626,0.41353383458646614,0.8454545454545455,0.4249201277955272,0.49264705882352944,0.8955223880597015,0.21725239616613418,0.33076923076923076,0.7674418604651163,0.20766773162939298,"Luke Keaschall","33321",807712
"Mauricio Dubón",2026,"FA,FC,FS,SI,CH,SL,CU,KC",658,0.6328125,0.9259259259259259,0.3890577507598784,0.7424242424242424,0.9183673469387755,0.2006079027355623,0.5161290322580645,0.9375,0.1884498480243161,"Mauricio Dubon","16530",643289
"Byron Buxton",2026,"FA,FC,FS,SI,CH,SL,CU,KC",433,0.6098901098901099,0.6846846846846847,0.42032332563510394,0.64,0.78125,0.23094688221709006,0.573170731707317,0.5531914893617021,0.18937644341801385,"Byron Buxton","14161",621439
"Josh Bell",2026,"FA,FC,FS,SI,CH,SL,CU,KC",664,0.5480427046263345,0.7727272727272727,0.42319277108433734,0.6133333333333333,0.8043478260869565,0.22590361445783133,0.4732824427480916,0.7258064516129032,0.19728915662650603,"Josh Bell","13145",605137
