Name,Season,Pitch,Pitches,S-Swing%,S-Contact%,S-Zone%,SI-Swing%,SI-Contact%,SI-Zone%,SO-Swing%,SO-Contact%,SO-Zone%,NameASCII,PlayerId,MLBAMID
"Francisco Alvarez",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1193,0.5246913580246914,0.6588235294117647,0.40737636211232187,0.5967078189300411,0.7310344827586207,0.20368818105616093,0.45267489711934156,0.5636363636363636,0.20368818105616093,"Francisco Alvarez","26121",682626
"Pete Crow-Armstrong",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC,EP",1858,0.6103723404255319,0.7581699346405228,0.40365984930032295,0.6774193548387096,0.7838827838827839,0.21689989235737353,0.5329512893982808,0.7204301075268817,0.18675995694294942,"Pete Crow-Armstrong","27769",691718
"Josh Smith",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KC",768,0.5250737463126843,0.8258426966292135,0.44140625,0.5706806282722513,0.908256880733945,0.24869791666666666,0.46621621621621623,0.6956521739130435,0.19270833333333334,"Josh Smith","26396",669701
"Zach Neto",2026,"FA,FC,FS,SI,CH,SL,CU,KN,KC",1965,0.6026845637583893,0.7015590200445434,0.3786259541984733,0.6502590673575129,0.7609561752988048,0.19592875318066158,0.5515320334261838,0.6262626262626263,0.1826972010178117,"Zach Neto","31347",687263
"Travis Bazzana",2026,"FA,FC,FS,SI,CH,SL,CU,KC",1346,0.49489795918367346,0.7560137457044673,0.43684992570579495,0.5616883116883117,0.8208092485549133,0.2288261515601783,0.42142857142857143,0.6610169491525424,0.20802377414561665,"Travis Bazzana","34967",683953
"Ian Happ",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC,EP",2055,0.4848116646415553,0.6716791979949874,0.4004866180048662,0.5765765765765766,0.7109375,0.21605839416058395,0.37730870712401055,0.6013986013986014,0.18442822384428223,"Ian Happ","17919",664023
"Kody Clemens",2026,"FA,FC,FS,SI,CH,SL,CU,KC",1556,0.5918367346938775,0.7480106100795756,0.40938303341902316,0.6647058823529411,0.7920353982300885,0.2185089974293059,0.5084175084175084,0.6821192052980133,0.19087403598971722,"Kody Clemens","20572",665019
"Riley Greene",2026,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1603,0.5256222547584187,0.713091922005571,0.42607610729881473,0.6021505376344086,0.8035714285714286,0.23206487835308795,0.4340836012861736,0.562962962962963,0.19401122894572675,"Riley Greene","25976",682985
"Lars Nootbaar",2026,"FA,FC,FS,SI,CH,SL,CU,KC",1074,0.44635193133047213,0.8413461538461539,0.4338919925512104,0.5259259259259259,0.8732394366197183,0.25139664804469275,0.336734693877551,0.7727272727272727,0.1824953445065177,"Lars Nootbaar","21454",663457
"Xavier Edwards",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC,EP",1748,0.4912043301759134,0.8457300275482094,0.42162471395881007,0.561038961038961,0.8888888888888888,0.21967963386727687,0.4152542372881356,0.782312925170068,0.20194508009153317,"Xavier Edwards","22266",669364
