Name,Season,Pitch,Pitches,Vertical Break,Vertical Drop,Horizontal Break,ArmAngle,SpinRate,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,NameASCII,PlayerId,MLBAMID
"Junior Caminero",2026,"FA,FC,FS,SI,CH,SL,CU,KC",706,6.400991041218131,29.540010254957508,6.493342858356939,35.24482000198301,2148.8356940509916,122,93.44710743801652,111.4,116.9,12.52892561983471,16,0.13114754098360656,57,0.4672131147540984,"Junior Caminero","28163",691406
"Chandler Simpson",2026,"FA,FC,FS,SI,CH,SL,CU,KC",604,7.66013260066225,27.588210612582778,5.137491679304635,33.98453423841058,2250.7615894039736,176,82.43141025641025,96,100.9,-1.8269230769230769,0,0,22,0.125,"Chandler Simpson","31912",802415
"Trea Turner",2026,"FA,FC,FS,SI,CH,SL,CU,KC",878,6.525878477699316,29.351936104783633,4.591861653758544,34.94503662870158,2178.629840546697,164,88.84268292682928,103.2,109.7,11.03048780487805,11,0.06707317073170732,66,0.4024390243902439,"Trea Turner","16252",607208
"Blaze Alexander",2026,"FA,FC,FS,SI,CH,SL,CU,KC",408,7.867202802696078,27.199138627450974,5.5414981973039215,36.36947992647059,2205.330882352941,71,92.07058823529412,105.6,112.9,12.5,2,0.028169014084507043,31,0.43661971830985913,"Blaze Alexander","23789",677942
"Caleb Durbin",2026,"FA,FC,FS,SI,CH,SL,CU",577,8.710687354107455,26.23101336221836,6.684462613691506,39.05603916811091,2173.062391681109,117,85.93928571428572,101.2,107.4,16.223214285714285,6,0.05128205128205128,35,0.29914529914529914,"Caleb Durbin","29646",702332
"Hao-Yu Lee",2026,"FA,FC,FS,SI,CH,SL,CU",493,7.7710158582150095,27.400223184584174,5.168456203448276,38.59561292089249,2194.68154158215,95,91.84787234042554,105.8,112.2,15.946808510638299,10,0.10526315789473684,42,0.4421052631578947,"Hao-Yu Lee","30080",701678
"Carter Jensen",2026,"FA,FC,SI,CH,SL,CU,KC",644,6.448838336490685,28.640922826086964,3.399982339906831,37.572466242236025,2322.718944099379,97,90.26770833333337,107.3,110.3,14.635416666666666,9,0.09278350515463918,41,0.422680412371134,"Carter Jensen","29478",695600
"Rafael Devers",2026,"FA,FC,FS,SI,CH,SL,CU,KC",915,7.397983274393444,27.187594174863374,4.403885916065573,36.462784120218586,2294.417486338798,141,90.72499999999997,105.5,111.4,13.442857142857143,14,0.09929078014184398,65,0.46099290780141844,"Rafael Devers","17350",646240
"Yordan Alvarez",2026,"FA,FC,FS,SI,CH,SL,CU,KC",627,6.734899299186603,28.16605094098883,3.495653647320574,39.36803880382775,2305.2982456140353,129,92.66875,109.1,115.9,14.8984375,17,0.13178294573643412,60,0.46511627906976744,"Yordan Alvarez","19556",670541
"Heliot Ramos",2026,"FA,FC,FS,SI,CH,SL,CU,KC",432,6.72269905185185,28.513965509259258,6.3018578773148155,36.23641502314816,2155.078703703704,67,95.6179104477612,108.9,112.2,13.044776119402986,11,0.16417910447761194,40,0.5970149253731343,"Heliot Ramos","22515",671218
