Name,Season,Pitch,Pitches,H-Swing%,H-Contact%,H-Zone%,S-Swing%,S-Contact%,S-Zone%,C-Swing%,C-Contact%,C-Zone%,W-Swing%,W-Contact%,W-Zone%,NameASCII,PlayerId,MLBAMID
"Bo Bichette",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1683,0.6990521327014217,0.9186440677966101,0.2501485442661913,0.6176890156918687,0.8752886836027713,0.41592394533571003,0.391304347826087,0.5816993464052288,0.23232323232323232,0.11834319526627218,0.1,0.10041592394533572,"Bo Bichette","19612",666182
"Trea Turner",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC",1542,0.7436548223350253,0.8703071672354948,0.25551232166018156,0.5784615384615385,0.699468085106383,0.42088197146562906,0.32,0.41964285714285715,0.22697795071335927,0.0945945945945946,0.07142857142857142,0.0959792477302205,"Trea Turner","16252",607208
"Carson Benge",2026,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1715,0.698876404494382,0.887459807073955,0.2583090379008746,0.5107238605898123,0.8057742782152231,0.43381924198250726,0.24489795918367346,0.5208333333333334,0.22857142857142856,0.03787878787878788,0.2,0.07696793002915452,"Carson Benge","35177",701807
"Salvador Perez",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC",1573,0.7300275482093664,0.8981132075471698,0.23076923076923078,0.6626297577854672,0.8120104438642297,0.36745073108709475,0.47619047619047616,0.5421052631578948,0.2530197075651621,0.13733905579399142,0.1875,0.1455816910362365,"Salvador Perez","7304",521692
"Marcus Semien",2026,"FA,FC,FS,SI,CH,SL,CU,KC",1340,0.7978436657681941,0.8952702702702703,0.2753731343283582,0.5434782608695652,0.77,0.41194029850746267,0.25925925925925924,0.38961038961038963,0.22164179104477613,0.05,0,0.08955223880597014,"Marcus Semien","12533",543760
"Mike Trout",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC",1724,0.6778846153846154,0.875886524822695,0.24071925754060325,0.45034013605442175,0.8006042296072508,0.4263341067285383,0.17777777777777778,0.3888888888888889,0.23433874709976799,0.09523809523809523,0,0.09744779582366589,"Mike Trout","10155",545361
"Jake McCarthy",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC,EP",1247,0.8055555555555556,0.9094827586206896,0.2301523656776263,0.6443202979515829,0.8294797687861272,0.43063352044907777,0.3106796116504854,0.53125,0.24779470729751404,0.061946902654867256,0.14285714285714285,0.09061748195669607,"Jake McCarthy","21622",664983
"Kyle Stowers",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC",1328,0.8173374613003096,0.8712121212121212,0.24322289156626506,0.6352087114337568,0.5942857142857143,0.4141566265060241,0.2747603833865815,0.26744186046511625,0.23493975903614459,0.0851063829787234,0,0.10617469879518072,"Kyle Stowers","26151",669065
"Xavier Edwards",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KN,KC,EP",1678,0.6988505747126437,0.9276315789473685,0.25804529201430276,0.4893009985734665,0.8513119533527697,0.4165673420738975,0.15625,0.48333333333333334,0.22884386174016685,0.0379746835443038,0,0.09415971394517282,"Xavier Edwards","22266",669364
"Otto Lopez",2026,"FA,FC,FS,SI,CH,SL,CU,KN,KC",1691,0.6591928251121076,0.935374149659864,0.2637492607924305,0.5084033613445378,0.8622589531680441,0.4222353636901242,0.2727272727272727,0.5392156862745098,0.21998817267888823,0.09554140127388536,0.13333333333333333,0.09284447072738025,"Otto Lopez","19608",672640
"Daylen Lile",2026,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1622,0.8096514745308311,0.9039735099337748,0.22996300863131935,0.6532374100719425,0.8237885462555066,0.4272503082614057,0.29,0.5258620689655172,0.2466091245376079,0.08441558441558442,0.23076923076923078,0.09494451294697903,"Daylen Lile","29995",695734
"Konnor Griffin",2026,"FA,FC,FS,SI,CH,SL,CU,KN,KC,EP",763,0.7461139896373057,0.8680555555555556,0.2529488859764089,0.5870967741935483,0.7252747252747253,0.40629095674967236,0.4110429447852761,0.417910447761194,0.21231979030144169,0.07216494845360824,0,0.127129750982962,"Konnor Griffin","35376",804606
"Spencer Horwitz",2026,"FA,FC,FS,SI,CH,SL,CU,KN,KC,EP",1334,0.6350148367952523,0.9345794392523364,0.2518740629685157,0.47101449275362317,0.8807692307692307,0.41304347826086957,0.18037974683544303,0.5263157894736842,0.2368815592203898,0.023255813953488372,0.3333333333333333,0.095952023988006,"Spencer Horwitz","26477",687462
"Yainer Diaz",2026,"FA,FC,FS,SI,CH,SL,CU,KC,EP",678,0.813953488372093,0.9428571428571428,0.2536873156342183,0.6861313868613139,0.851063829787234,0.40412979351032446,0.40522875816993464,0.532258064516129,0.22566371681415928,0.08860759493670886,0.14285714285714285,0.11651917404129794,"Yainer Diaz","23003",673237
"Leody Taveras",2026,"FA,FC,FS,SI,CH,SL,CU,KC",1170,0.7508532423208191,0.9045454545454545,0.24957264957264957,0.5204918032786885,0.8110236220472441,0.4170940170940171,0.27472527472527475,0.29333333333333333,0.23333333333333334,0.0603448275862069,0,0.09914529914529914,"Leody Taveras","18900",665750
"Jonathan Aranda",2026,"FA,FC,FS,SI,CH,SL,CU,KN,KC,EP",1729,0.7581395348837209,0.8895705521472392,0.24869866975130134,0.546079779917469,0.818639798488665,0.4198958935801041,0.2524752475247525,0.6470588235294118,0.23308270676691728,0.08928571428571429,0.26666666666666666,0.09716599190283401,"Jonathan Aranda","21837",666018
