Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR,PPTV,CPTV,BPTV,DSV,DGV,BTV,wPPTV,wCPTV,wBPTV,wDSV,wDGV,wBTV,EBV,ESV,wOppTeamV,wTeamV,wNetBatV,TG,Bats,Fantasy,$,FPTS,FPTS/G,SPTS,SPTS/G,XBR,EV90,BatSpd,FastSw%,SqUpCon%,SqUpSw%,BlastCon%,BlastSw%,Swords,CompSw,Tilt,AtkAng,AtkDir,IdealAtkAng%,DepthBox,DistOffPlt,H-Swing%,H-Contact%,H-Zone%,C-Swing%,C-Contact%,C-Zone%,S-Swing%,S-Contact%,S-Zone%,W-Swing%,W-Contact%,W-Zone%,O-Swing% (mlb),O-Contact% (mlb),O-Zone% (mlb),Z-Swing% (mlb),Z-Contact% (mlb),Zone% (mlb),FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,FA-SPN,FT-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN,SLO-SPN,ST-SPN,CUO-SPN,CV-SPN,SLO% (sc),ST% (sc),CUO% (sc),SV% (sc),vSLO (sc),vST (sc),vCUO (sc),vSV (sc),SLO-X (sc),ST-X (sc),CUO-X (sc),SV-X (sc),SLO-Z (sc),ST-Z (sc),CUO-Z (sc),SV-Z (sc),wSLO (sc),wST (sc),wCUO (sc),wSV (sc),wSLO/C (sc),wST/C (sc),wCUO/C (sc),wSV/C (sc),SI-Swing%,SI-Contact%,SI-Zone%,SO-Swing%,SO-Contact%,SO-Zone%,SwgLng,B-Rvw,B-OvrTrn,B-Crct%,wB-Rvw,P-Rvw,P-OvrTrn,P-Crct%,wP-Rvw,C-Rvw,C-OvrTrn,C-Crct%,wC-Rvw,AsC-Rvw,AsC-Ovrtrn,AsC-Crct%,wAsC-Rvw,NameASCII,PlayerId,MLBAMID
"Will Wilson","SEA","Will Wilson","SEA",2026,27,1,2,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,7,2,5,0,0,0,0,0,0,0.5,2,2.5,1.5,0,1,0,0.5,0.5,0,1,0,0,1.0262176990509033,1.145056048876235,1.3811786719622106,,,,,,,,0.14285714,602.2384158449481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"27 - 27",,,,0.5,0.5,0,0.5,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Will Wilson",25434,669717
"Aramis Garcia","ARI","Aramis Garcia","ARI",2026,33,2,3,3,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0.666666666,1,2,0,0,11,3,8,0,0,0,0,0,0,0.666666666,1.666666666,2.333333332,1,0.5,0.5,0,0.333333333,0.666666666,0,0.5,0,0,0.9808937311172485,1.6079456082711263,1.9621295429000898,,,,,,,,2.64285714,544.2939198563226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005724676884710789,,"33 - 33",,,,0.33333333,0.66666667,0,0,0.33333333,0.66666667,0.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aramis Garcia",16925,605244
"Miles Mastrobuoni","SEA","Miles Mastrobuoni","SEA",2026,30,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,2,3,0,1,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,0,0,0.890245795249939,0.9257791187897826,1.1619017418757582,,,,,,,,2.64285714,507.67527189027425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005724676884710789,,"30 - 30",,,,0,0.5,0.5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miles Mastrobuoni",20017,670156
"Jihwan Bae","MIL","Jihwan Bae","MIL",2026,26,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,2,0,2,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0.5,0.890245795249939,0.9257791187897826,1.1619017418757582,,,,,,,,2.64285714,485.08208610533694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005724676884710789,,"26 - 26",,,,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jihwan Bae",23818,678225
"Will Brennan","SFG","Will Brennan","SFG",2026,28,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,9,2,7,0,0,0,0,0,0,1,1,2,0,1,1,0.5,0.5,0,0,0,0,0,0.890245795249939,0.9257791187897826,1.1619017418757582,,,,,,,,0.14285714,486.34664362772986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011449353769421577,,"28 - 28",,,,0,0,1,0.5,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Will Brennan",25660,686823
"Brewer Hicklen","ATL","Brewer Hicklen","ATL",2026,30,3,3,3,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0.666666666,0,0,2,0,11,5,6,0,0,0,0,0.333333333,0,0.666666666,1.333333333,1.999999999,0.666666667,1,0,1,0,0,0,0,0,0,0.8415340582529703,1.2708352157271359,1.6250191503560991,,,,,,,,0.14285714,451.3544358511569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"30 - 30",,,,0.5,0.5,0,0,0,1,0.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brewer Hicklen",20450,676551
"Brett Callahan","DET","Brett Callahan","DET",2026,24,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7290217876434326,0.3328895209459966,0.45095083248898443,,,,,,,,0.14285714,387.86268592545963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005724676884710789,,"24 - 24",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brett Callahan",33514,814430
"Michael Conforto","CHC","Michael Conforto","CHC",2026,33,7,7,8,3,1,0,0,2,3,3,1,0,1,0,0,0,0,0,0,0.428571428,2,3,1,0,27,10,17,0,0,0,0.125,0.125,1,0.5,1.285714285,1.785714285,0.857142857,0.25,0.666666666,0.166666666,0.333333333,0.5,0,0.666666666,0,0,0.7116417214274406,2.5510033719680645,3.495493864311967,,,,,,,,2.64285714,366.3849415592732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011449353769421577,,"33 - 33",,,,0.16666667,0.66666667,0.16666667,0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michael Conforto",16376,624424
"Luke Williams","ATL","Luke Williams","ATL",2026,29,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6980171799659729,0.3078895209459966,0.4259508324889844,,,,,,,,0.14285714,355.02697245818706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005724676884710789,,"29 - 29",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Luke Williams",19931,663897
"Kenny Piper","TBR","Kenny Piper","TBR",2026,27,1,3,3,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0.333333333,0,1,0,0,20,6,14,0,0,0,0,0.666666666,0,0.333333333,1.333333333,1.666666666,1,0,0,0,0,1,0,1,0,0,0.6841451327006022,0.8901121458135881,1.2442960804425516,,,,,,,,0.14285714,356.74784612146817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"27 - 27",,,,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenny Piper",29962,700652
"Tyler Callihan","PIT","Tyler Callihan","PIT",2026,26,8,6,7,4,3,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0.666666666,0,4,1,0,22,8,14,0,1,1,0.142857142,0,1,0.714285714,0.833333333,1.547619047,0.166666667,0.666666666,0,0.2,0,0.8,0,0,0,1,0.6615793790136065,1.9495599524002685,2.7759891332011835,,,,,,,,6.160714285714286,327.29368089626354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17710129544138908,,"26 - 26",,,,0,0.66666667,0.33333333,0,0.83333333,0.16666667,0.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tyler Callihan",27497,682997
"Jair Camargo","ATL","Jair Camargo","ATL",2026,26,1,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,7,2,5,0,0,0,0,0.5,0,0.5,1,1.5,0.5,1,0,0,0,1,0,0,0,0,0.6311505436897278,0.5079456563322446,0.7440682794182203,,,,,,,,2.64285714,310.14658253477705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"26 - 26",,,,0,1,0,0,0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jair Camargo",21730,665856
