Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR,PPTV,CPTV,BPTV,DSV,DGV,BTV,wPPTV,wCPTV,wBPTV,wDSV,wDGV,wBTV,EBV,ESV,wOppTeamV,wTeamV,wNetBatV,TG,Bats,Fantasy,$,FPTS,FPTS/G,SPTS,SPTS/G,XBR,EV90,BatSpd,FastSw%,SqUpCon%,SqUpSw%,BlastCon%,BlastSw%,Swords,CompSw,Tilt,AtkAng,AtkDir,IdealAtkAng%,DepthBox,DistOffPlt,H-Swing%,H-Contact%,H-Zone%,C-Swing%,C-Contact%,C-Zone%,S-Swing%,S-Contact%,S-Zone%,W-Swing%,W-Contact%,W-Zone%,O-Swing% (mlb),O-Contact% (mlb),O-Zone% (mlb),Z-Swing% (mlb),Z-Contact% (mlb),Zone% (mlb),FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,FA-SPN,FT-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN,SLO-SPN,ST-SPN,CUO-SPN,CV-SPN,SLO% (sc),ST% (sc),CUO% (sc),SV% (sc),vSLO (sc),vST (sc),vCUO (sc),vSV (sc),SLO-X (sc),ST-X (sc),CUO-X (sc),SV-X (sc),SLO-Z (sc),ST-Z (sc),CUO-Z (sc),SV-Z (sc),wSLO (sc),wST (sc),wCUO (sc),wSV (sc),wSLO/C (sc),wST/C (sc),wCUO/C (sc),wSV/C (sc),SI-Swing%,SI-Contact%,SI-Zone%,SO-Swing%,SO-Contact%,SO-Zone%,SwgLng,B-Rvw,B-OvrTrn,B-Crct%,wB-Rvw,P-Rvw,P-OvrTrn,P-Crct%,wP-Rvw,C-Rvw,C-OvrTrn,C-Crct%,wC-Rvw,AsC-Rvw,AsC-Ovrtrn,AsC-Crct%,wAsC-Rvw,NameASCII,PlayerId,MLBAMID
"Lazaro Montes","SEA","Lazaro Montes","SEA",2026,21,1,3,4,2,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0.666666666,1,1,0,0,18,6,12,0,0,0,0.25,0.25,1,0.75,1.666666666,2.416666666,1,1,1,0,0.5,0.5,0,1,0,0,0.9098519682884216,1.9161209860348751,2.3894328573250823,,,,,,,,2.64285714,521.3200499245612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011208833195269108,,"21 - 21",,,,0.5,0.5,0,0,0,1,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lazaro Montes",30361,703155
"Matthew Lugo","KCR","Matthew Lugo","KCR",2026,25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0.8904569745063782,0.4633699904304157,0.5816979582529674,,,,,,,,0.14285714,498.43687532095197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005604416597634554,,"25 - 25",,,,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matthew Lugo",25980,683090
"Victor Mederos","ATL","Victor Mederos","ATL",2026,25,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2,1,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,1,0,0.8904569745063782,0.4633699904304157,0.5816979582529674,,,,,,,,0.14285714,483.19998285574223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005604416597634554,,"25 - 25",,,,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Victor Mederos",31533,682989
"Andrew Knizner","SFG","Andrew Knizner","SFG",2026,31,5,7,9,5,3,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0.714285714,1,2,3,0,25,10,15,0,0,0,0.111111111,0.111111111,1,0.777777777,1,1.777777777,0.285714286,0.833333333,0.5,0.5,0.166666666,0.333333333,0,0,0,0,0.735924608177609,3.0473520925548794,4.112303802957845,,,,,,,,0.5595238025,382.099788820738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02802208298817277,,"31 - 31",,,,0.5,0.33333333,0.16666667,0.16666667,0.33333333,0.5,0.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andrew Knizner",19514,668800
"Yohandy Morales","WSN","Yohandy Morales","WSN",2026,24,1,3,3,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.333333333,0,1,0,0,11,3,8,0,0,0,0,0.666666666,0,0.333333333,1.333333333,1.666666666,1,0,0,0,0,1,0,1,0,0,0.6834863821665446,0.8887621730175453,1.2437460764852006,,,,,,,,0.14285714,342.54031802689724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"24 - 24",,,,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yohandy Morales",33361,691002
"Adael Amador","COL","Adael Amador","COL",2026,23,6,10,12,4,1,1,0,2,3,7,2,0,3,0,0,0,0,0,0,0.4,2,5,0,0,53,19,34,0,0,0,0.166666666,0.25,0.666666666,0.5,1.1,1.6,0.7,0.4,0.4,0,0.285714285,0.714285714,0,0.4,0,0,0.6375301033258438,3.109766510613075,4.529702124483696,,,,,,,,1.08035714,301.04749816395093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01681324979290366,,"23 - 23",,,,0.28571429,0.28571429,0.42857143,0.14285714,0.57142857,0.28571429,0.58333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adael Amador",27962,691182
"Junior Perez","CHW","Junior Perez","CHW",2026,24,7,8,9,3,1,0,0,2,3,5,1,0,4,0,0,0,0,0,0,0.375,2,2,0,0,35,14,21,0,0,0,0.111111111,0.444444444,0.25,0.444444444,1.125,1.569444444,0.75,0.5,1,0,0.5,0.5,0,1,0,0,0.6322074466281467,2.2936454427622,3.3585971531651655,,,,,,,,2.64285714,321.5005659573945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011208833195269108,,"24 - 24",,,,0.75,0.25,0,0,0.25,0.75,0.77777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Junior Perez",23989,678577
"Nick Solak","SDP","Nick Solak","SDP",2026,31,2,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,1,0,1,0,6,1,5,1,0,0,0,0,0,0.666666666,0.5,1.166666666,0,0.5,1,0.5,0.5,0,0,0,1,0,0.5399702787399292,0.5411210822889921,0.8961049857566474,,,,,,,,0.14285714,252.33557832417446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011208833195269108,,"31 - 31",,,,0.5,0,0.5,0.5,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nick Solak",19294,669256
"Gabriel Gonzalez","MIN","Gabriel Gonzalez","MIN",2026,22,3,2,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.5,1,0,0,0,12,4,8,1,0,0,0,0.333333333,0,0.666666666,0.5,1.166666666,0,1,1,0,1,0,0,0,1,0,0.5399702787399292,0.5411210822889921,0.8961049857566474,,,,,,,,2.64285714,257.19392568459295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011208833195269108,,"22 - 22",,,,1,0,0,0,1,0,0.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gabriel Gonzalez",28833,694224
"Justin Dean","CHC","Justin Dean","CHC",2026,29,9,7,9,3,2,0,1,0,3,3,2,0,3,0,0,0,0,1,0,0.428571428,2,0,2,0,33,12,21,0,0,0,0.222222222,0.333333333,0.666666666,0.555555555,0.714285714,1.269841269,0.285714286,0.75,2,0.5,0.5,0,0,0,0,0,0.5304767688115438,1.5543744560439214,2.619326166446887,,,,,,,,9.285714285714285,244.0007787093241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17758233658969402,,"29 - 29",,,,0.75,0,0.25,0.25,0,0.75,0.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Justin Dean",25005,681909
