"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1547,695578,"Wood, James",1576,98.2,0.273,0.263,0.354,0.537,0.4,0.433,0.281,82,300,95.9,10.6,2261,88.9,89.07,182,582,965,0.19999999999998863,6.4,119,147,127,151,300,327,306,"-20.256","20.256","73.8","7.3","3.27943206",367,195,43,19,0,20,107,29.2,61,16.6,2.46748,0.46002,0.27543,-0.10187,"94.5",177,60.51282051282051,24.102564102564102,12.806539509536785,5.84,-0.59,-0.07,2.28,0.401,47,"1.30937298",0.41,0.619,"-1.30937298",-0.008,-0.008999999999999952,-0.082,-0.033,31.3,"38.1",10.258415981249144,2.702580848287191,39.51674683891625,0.4236111111111111,35.740019217786,33.514077014597284
1530,621493,"Ward, Taylor",1535,99.7,0.258,0.108,0.327,0.366,0.348,0.356,0.259,76,295,89.8,14.8,2286,90,90.19,91,505,1025,0.20000000000000284,6.43,109,152,123,147,305,324,291,"-6.631","6.631","65.9","6.7","2.635468698",364,222,54,17,0,5,75,20.6,64,17.6,2.25817,0.59694,0.3213,0.09069,"91.6",166,40.99099099099099,5.405405405405405,3.296703296703297,5.7,-0.86,0.19,2.31,0.393,12,"0.433398693",0.394,0.393,"-0.433398693",-0.001,-0.0010000000000000009,-0.027,-0.008,18,"35.9",4.694108806656583,2.4720740030126396,30.515137551653023,0.42887029288702927,35.37985967261392,30.037782579125373
1510,701762,"Kurtz, Nick",1544,97.8,0.288,0.266,0.394,0.554,0.424,0.394,0.255,80,278,94.3,12.5,2201,89.9,89.88,223,627,883,0,6.38,117,146,130,152,301,330,307,"-33.306","33.306","76.4","7.7","2.951733283",352,174,45,15,1,19,104,29.5,72,20.5,2.31266,0.55701,0.45333,-0.22631,"93.8",171,58.620689655172406,18.39080459770115,9.090909090909092,5.75,-0.64,-0.09,2.32,0.438,32,"2.205695364",0.412,0.512,"-2.205695364",0.033,0.026000000000000023,0.042,0.03,35.6,"36.2",11.648446948625894,6.251225968752724,37.763895100742594,0.49295774647887325,37.445930782051526,22.518399200772013
1453,621566,"Olson, Matt",1461,99.5,0.271,0.264,0.295,0.535,0.374,0.365,0.258,81,299,93.1,17.7,2272,89.5,89.92,163,667,786,0.4000000000000057,6.48,116,147,131,152,300,328,306,"-16.911","16.911","72.9","7.5","2.851473796",336,227,42,19,0,20,75,22.3,33,9.8,2.33635,0.55652,0.29295,-0.05893,"93.2",177,51.32743362831859,13.716814159292035,9.226190476190476,5.75,-0.11,-0.16,2.3,0.342,31,"1.16386786",0.333,0.521,"-1.16386786",0.013,0.009000000000000008,0.014,0.009,24.4,"37.1",9.261698747460553,-0.6784889327390278,33.73418953348353,0.5053435114503817,38.70205660019218,35.48197377093905
1441,656941,"Schwarber, Kyle",1456,99,0.252,0.343,0.303,0.594,0.406,0.385,0.247,72,286,93.2,21.8,2269,88.9,89.11,220,637,804,0.19999999999998863,6.44,120,146,131,152,300,329,298,"-31.376","31.376","74.1","7.4","3.912157024",337,171,33,9,1,29,115,34.1,47,13.9,2.49834,0.42864,0.27534,-0.11359,"93.6",164,52.352941176470594,21.176470588235293,10.682492581602373,5.73,-0.26,-0.16,2.16,0.365,36,"2.177376822",0.361,0.545,"-2.177376822",0.005,0.0040000000000000036,0.049,0.021,34.5,"36.2",14.712112856122289,-9.652034995437864,29.189661237664307,0.654281098546042,34.23095280263898,35.44489291685416
1422,683002,"Henderson, Gunnar",1423,99.9,0.229,0.202,0.262,0.431,0.32,0.311,0.236,75,327,89.6,12,2186,89.2,89.37,167,696,726,0.20000000000000284,6.43,116,146,121,152,296,325,302,"-9.238","9.238","72.8","7.3","2.868214824",362,241,43,14,2,16,87,24,30,8.3,2.44677,0.47228,0.40528,-0.27381,"92.0",147,45.643153526970956,8.71369294605809,5.801104972375691,5.67,-0.81,-0.2,2.22,0.301,21,"0.649648383",0.308,0.401,"-0.649648383",-0.007,-0.007000000000000006,0.03,0.009,24,"34.9",10.157450127409824,0.7794727237802983,31.406901699420295,0.48405797101449277,33.500147127515326,33.44147085517157
1408,624413,"Alonso, Pete",1417,99.4,0.249,0.223,0.277,0.472,0.349,0.374,0.271,75,301,94.2,13.9,2279,89.5,89.63,169,624,784,0.09999999999999432,6.43,108,152,125,147,305,327,295,"-8.822","8.822","73.1","7.1","2.656772638",346,224,44,13,0,18,81,23.4,38,11,2.40278,0.4913,0.28655,0.05636,"93.3",171,54.46428571428571,12.5,8.092485549132949,5.69,-0.87,0.09,2.23,0.335,28,"0.6265625",0.357,0.517,"-0.6265625",-0.022,-0.021999999999999964,-0.045,-0.025,27.1,"36.5",9.500887521782174,3.6561474897604866,33.32194192214431,0.5412541254125413,36.02699728564497,27.08253388592852
1408,545361,"Trout, Mike",1435,98.1,0.234,0.238,0.273,0.472,0.376,0.412,0.259,62,265,91.2,19,2277,91,90.96,125,545,863,0,6.41,107,152,123,147,308,328,295,"-16.491","16.491","73.1","7.4","2.928480155",335,182,33,12,0,17,83,24.8,66,19.7,2.06429,0.74067,0.42505,0.17668,"92.5",167,51.38121546961326,20.994475138121548,11.343283582089553,5.77,-0.93,0.28,2.49,0.394,38,"1.171235795",0.414,0.56,"-1.171235795",-0.025,-0.019999999999999962,-0.088,-0.036,22.9,"37.9",6.98081261481359,-1.3747136069968757,35.30137269897349,0.44652908067542213,35.26508020932675,25.843938124068362
1396,687263,"Neto, Zach",1403,99.5,0.227,0.23,0.301,0.457,0.343,0.315,0.201,69,304,90.1,22.5,2263,89,89.03,223,696,700,0,6.4,108,152,116,145,304,325,294,"-7.425","7.425","68.4","6.9","3.865694569",351,190,35,15,2,17,115,32.8,39,11.1,2.42115,0.50821,0.30268,0.10689,"91.5",155,39.15343915343915,13.227513227513226,7.122507122507122,5.75,-0.87,0.38,2.07,0.328,25,"0.531876791",0.307,0.408,"-0.531876791",0.026,0.02100000000000002,0.049,0.028,32,"38.0",19.991392159694822,-5.822797716250825,40.088966037211314,0.363905325443787,32.086616665514214,36.95082105925218
1382,608324,"Bregman, Alex",1390,99.4,0.25,0.1,0.285,0.35,0.313,0.319,0.249,75,300,87.9,16.2,2292,89.3,89.61,97,564,818,0.29999999999999716,6.5,106,151,122,146,300,324,294,"2.242","-2.242","68.1","6.9","3.506985595",347,248,58,10,1,6,55,15.9,38,11,2.43356,0.47053,0.27374,0.04033,"91.7",155,37.903225806451616,4.838709677419355,3.45821325648415,5.7,-0.73,0.19,2.19,0.343,12,"-0.162228654",0.344,0.372,"0.162228654",0.001,-0.0009999999999999454,-0.022,-0.006,17.2,"36.7",14.266890140056956,-4.878769017084059,28.156972077481825,0.6159420289855072,33.6718888464917,32.725394696162404
