"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
962,621566,"Olson, Matt",2364,40.7,0.265,0.261,0.3,0.526,0.364,0.348,0.254,56,211,92.2,19.3,2283,88.8,89.06,117,441,521,0.29999999999999716,6.44,117,148,130,152,300,327,307,"-12.635","12.635","72.7","7.5","3.234708279",231,154,29,13,0,14,58,25.1,17,7.4,"2.37","0.56","0.22","0.22","93.1",181,50.649350649350644,13.636363636363635,9.090909090909092,5.7,2.17,-0.3,2.24,0.325,21,"1.313409563",0.317,0.487,"-1.313409563",0.011,0.008000000000000007,0.039,0.016,26.5,"37.1",10.01130052123296,-2.6984081761708594,33.33464180616279,0.4976958525345622,38.89325250297542,36.68118259150877
848,547180,"Harper, Bryce",2150,39.4,0.207,0.11,0.263,0.317,0.303,0.338,0.224,34,164,88,11.8,2350,87.8,87.89,140,423,425,0.10000000000000853,6.37,116,146,125,151,292,326,302,"1.88","-1.88","70.8","7.1","4.782987686",205,118,25,4,1,4,51,24.9,35,17.1,"2.62","0.39","0.11","0.11","91.2",155,37.28813559322034,7.627118644067797,4.390243902439024,5.63,2.23,-0.32,2.05,0.341,9,"-0.221698113",0.362,0.375,"0.221698113",-0.017,-0.020999999999999963,-0.058,-0.035,33.1,"34.9",9.658562618494807,0.7691701377861812,36.78012621675069,0.4196642685851319,39.34929050083779,31.72412928929488
842,656941,"Schwarber, Kyle",2309,36.5,0.269,0.269,0.34,0.539,0.397,0.39,0.268,45,167,90.7,18.2,2323,87.8,87.84,113,361,481,0,6.36,117,146,131,152,297,329,298,"-16.149","16.149","74.2","7.4","4.106564551",199,109,25,7,1,12,59,29.6,27,13.6,"2.61","0.4","0.14","0.14","92.6",158,43.51851851851852,15.74074074074074,8.542713567839195,5.66,2.22,-0.3,2.1,0.382,17,"1.917933492",0.381,0.523,"-1.917933492",0.001,0.0010000000000000009,0.016,0.007,31.3,"34.9",14.959853793987584,-8.591692089876162,28.929317000241383,0.6182336182336182,35.69680952219635,35.12593711144504
747,671056,"Herrera, Iván",2250,33.2,0.243,0.15,0.266,0.393,0.355,0.381,0.284,34,140,89.7,16.5,2222,87.7,87.77,67,322,425,0.09999999999999432,6.31,106,151,123,147,309,326,293,"-5.756","5.756","72.3","7.7","3.15946514",176,114,23,6,0,5,26,14.8,30,17,"2.54","0.47","0.37","-0.37","93.1",162,44.73684210526316,6.140350877192982,3.977272727272727,5.7,2.07,0.04,2.34,0.398,7,"0.770548862",0.431,0.429,"-0.770548862",-0.041,-0.032999999999999974,-0.036,-0.026,20.8,"37.2",7.758673594456175,-2.064824462238977,30.375478666372125,0.4012738853503185,36.08643622415327,33.55954345292168
741,691718,"Crow-Armstrong, Pete",2274,32.6,0.293,0.247,0.385,0.54,0.411,0.339,0.243,44,150,88.7,20.1,2323,89.1,89.33,99,339,402,0.20000000000000284,6.44,113,144,102,150,291,322,299,"-12.963","12.963","71.3","7.3","3.921247662",179,100,28,4,3,9,50,27.9,23,12.8,"2.36","0.55","0.19","0.19","92.0",148,46,9,5.027932960893855,5.67,2.17,-0.38,2.17,0.408,9,"1.749392713",0.366,0.387,"-1.749392713",0.05,0.04199999999999998,0.153,0.072,29.2,"36.5",15.127061711909684,-7.534036070630289,33.28381216173218,0.47005988023952094,35.11241365097411,38.62090229676166
738,802139,"Wetherholt, JJ",2178,33.9,0.231,0.118,0.25,0.349,0.303,0.356,0.255,39,169,89.5,13.1,2307,88.5,88.52,64,330,408,0,6.34,117,146,108,151,297,324,304,"0.583","-0.583","68.7","7.3","1.765418459",195,141,29,5,0,5,30,15.4,21,10.8,"2.45","0.51","0.32","0.32","91.8",179,44.680851063829785,10.638297872340425,7.6923076923076925,5.62,2.07,-0.21,2.3,0.323,15,"-0.07899729",0.348,0.461,"0.07899729",-0.024,-0.024999999999999967,-0.112,-0.053,19.4,"35.4",9.827264173606368,6.785999718689179,32.3330181919109,0.6265432098765432,36.3499165974835,28.462697931677035
731,646240,"Devers, Rafael",2187,33.4,0.181,0.113,0.238,0.294,0.243,0.278,0.192,29,160,90.8,12.8,2297,89.4,89.7,116,375,356,0.29999999999999716,6.46,115,148,128,152,294,327,307,"11.433","-11.433","69.0","7.4","2.210444778",175,109,19,6,0,4,52,29.7,13,7.4,"2.27","0.62","0.33","0.33","92.1",168,48.62385321100918,10.091743119266056,6.2857142857142865,5.7,2.06,-0.26,2.26,0.246,11,"-1.564021888",0.26,0.36,"1.564021888",-0.011,-0.014000000000000012,-0.066,-0.035,30.9,"36.4",7.4495556602213435,8.239849889080265,30.061285841505313,0.5570652173913043,35.65604120940724,27.380931052781513
723,695578,"Wood, James",2266,31.9,0.253,0.234,0.341,0.487,0.356,0.365,0.257,40,158,94.2,7.6,2266,88.1,88.22,107,313,410,0.10000000000000853,6.36,119,148,127,151,298,326,306,"-3.76","3.76","73.1","7.3","3.677996416",179,100,21,10,0,9,58,32.4,20,11.2,"2.51","0.47","0.25","0.25","93.9",139,54,17,9.497206703910614,5.79,2.1,-0.23,2.19,0.341,17,"0.520055325",0.344,0.512,"-0.520055325",-0.004,-0.002999999999999947,-0.025,-0.009,34.2,"36.9",8.908239844405339,2.7855983082305866,40.63939618669809,0.3786407766990291,36.16116438282986,33.75246358341661
699,607208,"Turner, Trea",2045,34.2,0.212,0.096,0.248,0.308,0.276,0.323,0.257,33,156,89.4,8.9,2204,88,88.18,77,342,357,0.20000000000000284,6.37,106,151,120,146,299,324,289,"5.394","-5.394","71.2","7.5","3.291397281",176,124,24,6,0,3,32,18.2,18,10.2,"2.44","0.55","0.36","-0.36","91.6",169,41.935483870967744,6.451612903225806,4.545454545454546,5.71,2.25,0.05,2.2,0.301,8,"-0.77167382",0.341,0.388,"0.77167382",-0.045,-0.040000000000000036,-0.08,-0.047,22.5,"36.3",7.914954276038099,-1.4365311578393982,26.237920991198155,0.5714285714285714,38.90908987956134,28.46557818075606
698,668804,"Reynolds, Bryan",2197,31.8,0.293,0.189,0.362,0.482,0.374,0.349,0.257,48,164,91.4,3.9,2192,88.2,88.11,104,353,345,-0.10000000000000853,6.26,107,152,122,147,308,321,290,"-13.744","13.744","72.7","7.2","3.491033587",185,122,29,13,0,6,42,22.7,20,10.8,"2.54","0.44","0.45","-0.45","92.9",149,45.90163934426229,11.475409836065573,7.567567567567568,5.68,1.94,0.09,2.18,0.373,14,"1.969054441",0.341,0.457,"-1.969054441",0.036,0.03199999999999997,0.025,0.025,29.5,"38.1",8.226341580756909,3.1704033206712805,36.29339259864269,0.4281609195402299,36.79104415398211,26.369861674195732
697,518692,"Freeman, Freddie",2166,32.2,0.268,0.118,0.311,0.386,0.323,0.355,0.288,41,153,88.4,8.4,2290,88.8,88.9,97,361,336,0.10000000000000853,6.34,115,146,129,151,293,322,304,"0.364","-0.364","67.8","6.7","2.925160557",171,123,31,6,0,4,31,18.1,15,8.8,"2.44","0.49","0.23","0.23","91.5",157,39.02439024390244,6.504065040650407,4.678362573099415,5.73,2.16,-0.22,2.19,0.339,8,"-0.052223816",0.36,0.447,"0.052223816",-0.02,-0.020999999999999963,-0.061,-0.032,26.9,"35.5",6.304464540004132,4.59359784254558,41.667238692687334,0.42016806722689076,41.15976879400412,24.362828348434657
667,682985,"Greene, Riley",2073,32.2,0.231,0.115,0.333,0.346,0.316,0.314,0.23,30,130,89.4,14.8,2272,88.9,89.08,90,298,369,0.19999999999998863,6.42,117,146,124,151,292,329,301,"-0.521","0.521","72.6","7.0","4.220478108",153,86,20,7,1,2,44,28.8,22,14.4,"2.25","0.68","0.37","0.37","91.6",149,43.02325581395349,8.13953488372093,4.57516339869281,5.7,2.13,-0.26,2.34,0.346,7,"0.078110945",0.346,0.345,"-0.078110945",0.001,0,0.001,0.002,30.2,"37.2",12.363959119327006,0.7419997254885861,43.173656436457506,0.3875432525951557,33.191790564343385,32.296318918040924
667,700250,"Rice, Ben",2074,32.2,0.242,0.23,0.287,0.472,0.339,0.338,0.261,39,161,89.7,14.1,2316,88.1,88.29,87,307,360,0.20000000000000284,6.5,120,147,127,152,291,326,298,"-3.226","3.226","69.8","7.6","3.541922511",177,111,24,3,2,10,50,28.2,12,6.8,"2.59","0.41","0.2","0.2","92.2",137,41.44144144144144,10.81081081081081,6.779661016949152,5.71,2.04,-0.34,2.09,0.311,12,"0.483658171",0.327,0.448,"-0.483658171",-0.019,-0.016000000000000014,0.024,0.001,28.3,"37.4",13.08064705998285,-4.3888368677979335,33.88623158611443,0.5276872964169381,38.51304357856197,28.414587995726023
664,683002,"Henderson, Gunnar",2227,29.8,0.225,0.206,0.256,0.431,0.319,0.277,0.217,36,160,85.9,8.5,2278,88.3,88.58,75,315,349,0.29999999999999716,6.48,114,146,121,151,292,325,302,"-0.042","0.042","70.9","7.2","3.826117368",177,123,18,9,3,6,37,20.9,14,7.9,"2.45","0.51","0.29","0.29","91.0",142,34.959349593495936,3.2520325203252036,2.2598870056497176,5.74,2.02,-0.3,2.21,0.299,4,"0.006325301",0.292,0.323,"-0.006325301",0.008,0.007000000000000006,0.108,0.042,23.8,"36.0",9.284977320805377,0.052937403978275746,30.36840268281218,0.4662379421221865,34.168380413204964,33.94342925634156
661,701762,"Kurtz, Nick",1884,35.1,0.235,0.154,0.371,0.39,0.324,0.29,0.196,32,136,89.8,11.8,2293,89.1,89.2,115,296,365,0.10000000000000853,6.35,117,146,129,152,298,330,305,"-1.055","1.055","76.2","7.6","2.921793239",157,76,23,3,0,6,60,38.2,19,12.1,"2.34","0.57","0.33","0.33","92.5",160,44.73684210526316,10.526315789473683,5.095541401273886,5.79,2.06,-0.18,2.33,0.338,8,"0.159606657",0.303,0.345,"-0.159606657",0.039,0.03500000000000003,0.045,0.034,38.9,"37.5",11.596615173561908,4.560587982395529,37.23020966678946,0.4548872180451128,36.92788868969837,23.737307862134816
