Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Pete Crow-ArmstrongNew Player Note CHC - OF  L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,Detroit Fastballs,159,19,1,99%,173/617,119,45,107,40,0.948,
Yordan AlvarezPlayer Note HOU - OF 9:40 pm @ ATH,@ ATH,,Ranger danger,155,2,2,99%,175/555,101,41,102,1,1.032,
"CJ AbramsPlayer Note WSH - 2B,SS  Bot 2, 2-1 vs NYM",NYM,,Stealth Bomber,149,57,4,98%,149/568,92,33,103,33,0.838,
"Pete AlonsoPlayer Note BAL - 1B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,Stealth Bomber,159,44,6,99%,157/594,96,41,110,5,0.871,
"Miguel VargasNew Player Note CWS - 1B,3B 7:40 pm vs COL",COL,,Detroit Fastballs,157,42,7,95%,147/583,104,33,92,21,0.842,
"Ben RicePlayer Note NYY - C,1B  L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,Tm Mndlsn nd Mtchn,152,34,8,99%,148/565,104,41,97,3,0.897,
"Elly De La CruzNew Player Note CIN - SS  Bot 1, 0-2 @ TOR",@ TOR,,Tm Mndlsn nd Mtchn,140,18,9,99%,156/547,98,30,77,29,0.888,
"Kyle SchwarberPlayer Note PHI - 1B,OF  Bot 3, 0-2 vs TB",TB,,Cash is King,153,5,10,99%,133/570,94,45,95,3,0.861,
"James WoodPlayer Note WSH - OF  Bot 2, 2-1 vs NYM",NYM,,Cookie Monster ,132,4,11,99%,132/503,104,30,77,21,0.89,
"Junior CamineroPlayer Note TB - 3B  Bot 3, 2-0 @ PHI",@ PHI,,Ranger danger,159,17,12,99%,167/607,96,41,99,3,0.882,
"Fernando Tatis Jr.New Player Note SD - 2B,OF 9:40 pm vs AZ",AZ,,Stealth Bomber,157,32,13,99%,179/619,95,25,82,38,0.828,
Randy ArozarenaPlayer Note SEA - OF 10:10 pm vs LAA,LAA,,No Longer Rowdy,151,67,14,98%,156/559,109,26,76,25,0.859,
"Sal StewartPlayer Note CIN - 1B,2B,3B  Bot 1, 0-2 @ TOR",@ TOR,,NY Bombsquad,159,55,16,95%,162/609,86,32,110,15,0.799,
"Matt OlsonPlayer Note ATL - 1B Bot 1, 0-0 @ MIA",@ MIA,,Joey Spierer's Team,159,16,17,99%,156/617,99,41,91,4,0.83,
Jordan WalkerPlayer Note STL - OF 7:40 pm @ MIL,@ MIL,,The Eds,155,48,18,93%,162/597,94,28,100,21,0.797,
Shohei Ohtani (Batter)Video ForecastNew Player Note LAD - Util  10:15 pm @ SF,@ SF,,Trust The Process,132,1,19,98%,142/511,89,30,81,11,0.902,
Rafael DeversIL60No new player Notes SF - 1B  10:15 pm vs LAD,LAD,,Rafael Devers,148,115,21,74%,144/558,88,37,98,0,0.865,
"Bryce HarperPlayer Note PHI - 1B,OF Bot 3, 0-2 vs TB",TB,Video Playlist,Tm Mndlsn nd Mtchn,159,25,22,99%,152/564,92,28,86,7,0.867,
"Jake BauersPlayer Note MIL - 1B,OF 7:40 pm vs STL",STL,,Detroit Fastballs,141,168,23,80%,125/466,91,26,84,11,0.884,
Brice TurangPlayer Note MIL - 2B 7:40 pm vs STL,STL,,The Eds,148,24,24,99%,151/570,99,20,94,19,0.806,
"Brandon LowePlayer Note PIT - 2B Bot 1, 0-0 @ DET",@ DET,,Stealth Bomber,148,152,25,93%,151/576,93,34,95,2,0.825,
"Bobby Witt Jr.Player Note KC - SS Top 1, Delay vs CLE",CLE,,Cash is King,140,7,27,99%,154/546,90,18,54,43,0.803,
Hunter GoodmanPlayer Note COL - C  7:40 pm @ CWS,@ CWS,,Detroit Fastballs,135,54,28,96%,124/506,82,39,84,5,0.832,
Jackson ChourioNew Player Note MIL - OF  7:40 pm vs STL,STL,,NY Bombsquad,124,15,29,99%,146/513,92,25,71,23,0.828,
Zach NetoPlayer Note LAA - SS  10:10 pm @ SEA,@ SEA,,Cookie Monster ,154,28,31,97%,145/608,100,26,75,23,0.758,
"Alec BurlesonNew Player Note STL - 1B,OF  7:40 pm @ MIL",@ MIL,,Joe Byron,158,64,33,94%,167/599,87,24,113,4,0.807,
"Seiya SuzukiNew Player Note CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,Rafael Devers,141,86,34,94%,145/538,95,26,86,3,0.842,
Corbin CarrollPlayer Note AZ - OF 9:40 pm @ SD,@ SD,,Cash is King,153,10,35,99%,137/570,90,22,75,21,0.803,
Jake McCarthyPlayer Note COL - OF 7:40 pm @ CWS,@ CWS,,No Longer Rowdy,144,216,36,84%,158/536,78,15,83,32,0.82,
Jackson MerrillPlayer Note SD - OF  9:40 pm vs AZ,AZ,,Trust The Process,156,147,39,97%,153/607,83,26,86,26,0.74,
