Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId,MLBAMID,playerNameASCII
2025,"Carlos Santana","2 Tms",148,0.866666666,0.2,0.371428571,0.428571428,0.2,0.088888888,0.025641025,0,0.45714286,0.33333333,0.20952381,0.20952381,0.4,0.39047619,2396,467793,"Carlos Santana"
2025,"Jason Heyward","SDP",12,2,0.333333333,0.444444444,0.222222222,0.5,0,0.5,0,0.44444444,0.44444444,0.11111111,0.33333333,0.55555556,0.11111111,4940,518792,"Jason Heyward"
2025,"Tommy Pham","PIT",122,1.64,0.175,0.5125,0.3125,0,0.12,0.121951219,0,0.425,0.375,0.2,0.1,0.5125,0.3875,2967,502054,"Tommy Pham"
2025,"Sandy León","ATL",4,2,0,0.666666666,0.333333333,0,0,0.5,0,0.33333333,0.33333333,0.33333333,0,1,0,5273,506702,"Sandy Leon"
2025,"Giancarlo Stanton","NYY",78,0.727272727,0.073170731,0.390243902,0.536585365,0.09090909,0.227272727,0.0625,0,0.36585366,0.29268293,0.34146341,0.14634146,0.31707317,0.53658537,4949,519317,"Giancarlo Stanton"
2025,"Tucker Barnhart","TEX",5,2,0,0.666666666,0.333333333,1,0,0,0,0.33333333,0.33333333,0.33333333,0.66666667,0.33333333,0,10200,571466,"Tucker Barnhart"
2025,"Justin Turner","CHC",109,1.24137931,0.1875,0.45,0.3625,0.034482758,0.103448275,0,0,0.375,0.375,0.25,0.125,0.6,0.275,5235,457759,"Justin Turner"
2025,"Jon Singleton","HOU",2,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,10441,572138,"Jon Singleton"
2025,"Freddie Freeman","LAD",175,1.133333333,0.179487179,0.435897435,0.384615384,0.066666666,0.177777777,0.098039215,0,0.41880342,0.32478632,0.25641026,0.14529915,0.5042735,0.35042735,5361,518692,"Freddie Freeman"
2025,"Rob Brantly","MIA",7,0,0.4,0,0.6,0,0,0,1,0,0.16666667,0.83333333,0.16666667,0.83333333,0,10655,542963,"Rob Brantly"
2025,"Jose Altuve","HOU",124,0.771428571,0.234567901,0.333333333,0.432098765,0.171428571,0.2,0.037037037,1,0.57142857,0.26190476,0.16666667,0.19047619,0.55952381,0.25,5417,514888,"Jose Altuve"
2025,"Nick Martini","COL",5,1,0,0.5,0.5,0,0,0,0,0,0.75,0.25,0,0.75,0.25,12005,605361,"Nick Martini"
2025,"Kyle Higashioka","TEX",110,0.9375,0.243902439,0.365853658,0.390243902,0.09375,0.09375,0.033333333,0,0.5,0.30487805,0.19512195,0.13414634,0.47560976,0.3902439,5517,543309,"Kyle Higashioka"
2025,"Nick Ahmed","TEX",7,4,0,0.8,0.2,0,0,0.25,0,0.6,0.2,0.2,0.2,0.4,0.4,12147,605113,"Nick Ahmed"
2025,"Wilmer Flores","SFG",151,0.78,0.205357142,0.348214285,0.446428571,0.14,0.12,0.076923076,0,0.36607143,0.32142857,0.3125,0.16964286,0.55357143,0.27678571,5827,527038,"Wilmer Flores"
2025,"Austin Barnes","LAD",7,1.5,0.166666666,0.5,0.333333333,0,0,0.333333333,0,0.5,0.16666667,0.33333333,0.33333333,0.66666667,0,12158,605131,"Austin Barnes"
2025,"Martín Maldonado","SDP",52,1.2,0.29032258,0.387096774,0.322580645,0.2,0.1,0,0,0.46875,0.3125,0.21875,0.15625,0.46875,0.375,6887,455117,"Martin Maldonado"
2025,"Omar Narváez","CHW",3,1,0,0.5,0.5,0,0,1,0,0.5,0,0.5,0,1,0,13338,553882,"Omar Narvaez"
2025,"Salvador Perez","KCR",144,0.7,0.205607476,0.327102803,0.467289719,0.1,0.04,0.028571428,0,0.5046729,0.31775701,0.17757009,0.14953271,0.54205607,0.30841121,7304,521692,"Salvador Perez"
2025,"Jesse Winker","NYM",5,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.66666667,0.33333333,0,0,0.66666667,0.33333333,13590,608385,"Jesse Winker"
2025,"Travis d'Arnaud","LAA",48,0.6,0.172413793,0.310344827,0.517241379,0.066666666,0.133333333,0,0,0.44827586,0.4137931,0.13793103,0.10344828,0.51724138,0.37931034,7739,518595,"Travis d'Arnaud"
2025,"Travis Jankowski","TBR",7,4,0.2,0.8,0,0,0,0,0,0.4,0.4,0.2,0.6,0,0.4,13768,608671,"Travis Jankowski"
2025,"Miguel Rojas","LAD",135,0.826086956,0.2,0.361904761,0.438095238,0.108695652,0.130434782,0.026315789,0,0.35238095,0.40952381,0.23809524,0.18095238,0.4952381,0.32380952,7802,500743,"Miguel Rojas"
2025,"Dom Nuñez","CLE",6,2,0,1,0,0,0,0.5,1,0.33333333,0,0.66666667,0.33333333,0.66666667,0,15055,624513,"Dom Nunez"
2025,"Donovan Solano","2 Tms",101,1.178571428,0.152777777,0.458333333,0.388888888,0.142857142,0.035714285,0.06060606,0,0.31944444,0.33333333,0.34722222,0.13888889,0.55555556,0.30555556,8623,456781,"Donovan Solano"
2025,"Kris Bryant","COL",13,0.2,0.25,0.125,0.625,0,0,0,0,0.375,0.375,0.25,0,0.625,0.375,15429,592178,"Kris Bryant"
2025,"Paul Goldschmidt","NYY",168,0.679245283,0.315384615,0.276923076,0.407692307,0.056603773,0.132075471,0.027777777,0,0.41538462,0.25384615,0.33076923,0.10769231,0.53076923,0.36153846,9218,502671,"Paul Goldschmidt"
2025,"Billy McKinney","TEX",1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,15654,641856,"Billy McKinney"
2025,"Starling Marte","NYM",147,1.342857142,0.196078431,0.460784313,0.343137254,0.085714285,0.114285714,0.085106382,0.5,0.44230769,0.30769231,0.25,0.16346154,0.46153846,0.375,9241,516782,"Starling Marte"
2025,"J.D. Davis","LAA",1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,16219,605204,"J.D. Davis"
2025,"Christian Vázquez","MIN",60,0.523809523,0.179487179,0.282051282,0.538461538,0.095238095,0,0.181818181,0,0.48717949,0.38461538,0.12820513,0.28205128,0.53846154,0.17948718,9774,543877,"Christian Vazquez"
2025,"Sergio Alcántara","SFG",2,1,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,16417,642727,"Sergio Alcantara"
2025,"Nolan Arenado","STL",112,0.630434782,0.226804123,0.298969072,0.474226804,0.086956521,0.04347826,0.034482758,0,0.37113402,0.36082474,0.26804124,0.1443299,0.65979381,0.19587629,9777,571448,"Nolan Arenado"
2025,"Luis Guillorme","HOU",3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,16451,641645,"Luis Guillorme"
2025,"Andrew McCutchen","PIT",150,1,0.270833333,0.364583333,0.364583333,0.085714285,0.085714285,0.057142857,0,0.51041667,0.36458333,0.125,0.15625,0.5625,0.28125,9847,457705,"Andrew McCutchen"
2025,"Aramis Garcia","ARI",2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,16925,605244,"Aramis Garcia"
2025,"DJ LeMahieu","NYY",51,3,0.2,0.6,0.2,0,0,0,0,0.2,0.46666667,0.33333333,0.13333333,0.5,0.36666667,9874,518934,"DJ LeMahieu"
2025,"Vimael Machín","BAL",2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,17684,605353,"Vimael Machin"
2025,"Mike Trout","LAA",105,1.277777777,0.226415094,0.433962264,0.339622641,0,0.166666666,0.173913043,0,0.45283019,0.30188679,0.24528302,0.09433962,0.49056604,0.41509434,10155,545361,"Mike Trout"
2025,"Tyler Alexander","CHW",1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,17735,641302,"Tyler Alexander"
2025,"Jose Iglesias","SDP",137,1.74074074,0.186813186,0.516483516,0.296703296,0.074074074,0.037037037,0.170212765,0,0.23157895,0.43157895,0.33684211,0.18947368,0.56842105,0.24210526,10231,578428,"Jose Iglesias"
2025,"Sam Hilliard","COL",4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,17954,656541,"Sam Hilliard"
2025,"Randal Grichuk","2 Tms",183,0.716666666,0.1953125,0.3359375,0.46875,0.15,0.116666666,0.046511627,0,0.4296875,0.3515625,0.21875,0.1484375,0.4296875,0.421875,10243,545341,"Randal Grichuk"
