Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Ben Williamson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",398,0.18461538461538463,0.6153846153846154,0.2,0.23076923076923078,0,271,127,398,3.189870315829147,4.668606371457287,9.065095572864323,"Ben Williamson","33197",810938
"Ernie Clement",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",585,0.2911392405063291,0.2848101265822785,0.4240506329113924,0.19402985074626866,0.08955223880597014,407,178,585,3.492528372529914,4.174738475042734,8.71738185811966,"Ernie Clement","20352",676391
"Vladimir Guerrero Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC",601,0.3217391304347826,0.4608695652173913,0.21739130434782608,0.12,0.24,354,247,601,4.2500950755407665,4.437257521131447,8.700461692179697,"Vladimir Guerrero Jr.","19611",665489
"Junior Caminero",2025,"FA,FC,FS,SI,CH,SL,CU,KC",740,0.14685314685314685,0.5314685314685315,0.32167832167832167,0.13043478260869565,0.2826086956521739,473,267,740,3.904574680405405,3.7369692036891893,8.73816952972973,"Junior Caminero","28163",691406
"J.T. Realmuto",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",650,0.25225225225225223,0.4774774774774775,0.2702702702702703,0.26666666666666666,0.1,429,221,650,3.889951904153847,4.4921215746153855,8.798946987692307,"J.T. Realmuto","11739",592663
"Nick Castellanos",2025,"FA,FC,FS,SI,CH,SL,CU,KC",704,0.304,0.304,0.392,0.10204081632653061,0.10204081632653061,483,221,704,3.714096538352274,3.8456763304971577,8.743803086647727,"Nick Castellanos","11737",592206
"Trea Turner",2025,"FA,FC,FS,SI,CH,SL,CU,KC",773,0.2948717948717949,0.3717948717948718,0.3333333333333333,0.1346153846153846,0.07692307692307693,501,272,773,4.019406219094436,3.9812462529624844,8.878892228978009,"Trea Turner","16252",607208
"Ozzie Albies",2025,"FA,FC,FS,SI,CH,SL,CU,KC",595,0.225,0.425,0.35,0.14285714285714285,0.07142857142857142,420,175,595,3.4007550574789924,3.8461445895798305,8.599462578151266,"Ozzie Albies","16556",645277
"Kyle Tucker",2025,"FA,FC,SI,CH,SL,CU,KC",757,0.25,0.3235294117647059,0.4264705882352941,0.15517241379310345,0.13793103448275862,449,308,757,2.963364534478202,4.311962053025101,8.239407512549533,"Kyle Tucker","18345",663656
"Pete Crow-Armstrong",2025,"FA,FC,SI,CH,SL,CU,KC,EP",689,0.1322314049586777,0.35537190082644626,0.512396694214876,0.20967741935483872,0.11290322580645161,474,215,689,1.8901047509869373,3.2922250268795348,7.802856477503627,"Pete Crow-Armstrong","27769",691718
"Will Smith",2025,"FA,FC,FS,SI,CH,SL,CU,KC",491,0.23880597014925373,0.3283582089552239,0.43283582089552236,0.13793103448275862,0.13793103448275862,277,214,491,3.133903080619144,3.527859157433808,8.377738405295316,"Will Smith","19197",669257
"Shohei Ohtani",2025,"FA,FC,FS,SI,CH,SL,CU,KC",913,0.22875816993464052,0.39869281045751637,0.37254901960784315,0.19298245614035087,0.2631578947368421,579,334,913,2.666520638006572,3.7968888623220156,7.793597769989048,"Shohei Ohtani","19755",660271
"Juan Soto",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1015,0.17333333333333334,0.4266666666666667,0.4,0.25,0.18333333333333332,609,406,1015,3.0233461411822673,3.6422372211822656,8.225234272906404,"Juan Soto","20123",665742
"Alec Bohm",2025,"FA,FC,FS,SI,CH,SL,CU,KC",494,0.2376237623762376,0.48514851485148514,0.27722772277227725,0.07142857142857142,0.14285714285714285,323,171,494,3.8672229477732794,3.9610710253036423,9.15853375910931,"Alec Bohm","21618",664761
"Jacob Young",2025,"FA,FC,FS,SI,CH,SL,CU,KC",404,0.2463768115942029,0.6086956521739131,0.14492753623188406,0.1,0,246,158,404,4.5410083663366345,4.246256766584158,9.074143012376236,"Jacob Young","29931",696285
"Freddie Freeman",2025,"FA,FC,FS,SI,CH,SL,CU,KC",647,0.20689655172413793,0.4482758620689655,0.3448275862068966,0.1,0.2,424,223,647,2.312909162905718,3.695364625502319,7.792238423493045,"Freddie Freeman","5361",518692
"Gavin Sheets",2025,"FA,FC,SI,CH,SL,CU,KC",590,0.2920353982300885,0.415929203539823,0.2920353982300885,0.30303030303030304,0.06060606060606061,398,192,590,2.3641043534745765,3.3385568055932198,7.872779983050849,"Gavin Sheets","19901",657757
"Kyle Schwarber",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC",1183,0.2611464968152866,0.29936305732484075,0.4394904458598726,0.2608695652173913,0.3333333333333333,696,487,1183,2.178230635240911,3.4214298968639043,7.952067166525784,"Kyle Schwarber","16478",656941
"TJ Friedl",2025,"FA,FC,FS,SI,CH,SL,CU,KC",741,0.16417910447761194,0.5223880597014925,0.31343283582089554,0.3333333333333333,0.09523809523809523,442,299,741,3.238538892712551,4.342329931219973,8.58794819298246,"TJ Friedl","19522",670770
"Orlando Arcia",2025,"FA,FC,FS,SI,CH,SL,CU,KC",192,0.23809523809523808,0.40476190476190477,0.35714285714285715,0.3333333333333333,0.06666666666666667,130,62,192,3.3632314687500013,4.293532130208334,8.405519421875,"Orlando Arcia","13185",606115
"Christian Walker",2025,"FA,FC,FS,SI,CH,SL,CU,KC",524,0.18181818181818182,0.32954545454545453,0.48863636363636365,0.18604651162790697,0.09302325581395349,340,184,524,4.10558917996183,4.499653128435114,9.247810328244272,"Christian Walker","13419",572233
"Maikel Garcia",2025,"FA,FC,FS,SI,CH,SL,CU,KC",546,0.25773195876288657,0.4639175257731959,0.27835051546391754,0.18518518518518517,0.1111111111111111,331,215,546,3.580089891959707,4.470890708241758,8.815377280219778,"Maikel Garcia","22715",672580
"Nick Loftin",2025,"FA,FC,FS,SI,CH,SL,CU,KC",276,0.22,0.34,0.44,0.22727272727272727,0.09090909090909091,170,106,276,4.0950521565217395,4.033568183695652,8.696459061594204,"Nick Loftin","27630",679845
"Ceddanne Rafaela",2025,"FA,FC,FS,SI,CH,SL,CU,KC",621,0.2184873949579832,0.40336134453781514,0.37815126050420167,0.2,0.15555555555555556,428,193,621,3.1565170233494353,3.676533071497584,8.782114921095006,"Ceddanne Rafaela","24262",678882
"Nolan Arenado",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,0.23958333333333334,0.3020833333333333,0.4583333333333333,0.22727272727272727,0.045454545454545456,257,121,378,4.199658898677249,4.16529550846561,8.761803716931217,"Nolan Arenado","9777",571448
"Bo Naylor",2025,"FA,FC,SI,CH,SL,CU,KC",309,0.1875,0.34375,0.46875,0.43333333333333335,0.06666666666666667,210,99,309,2.22157181262136,3.625158802398058,7.974162546278316,"Bo Naylor","21865",666310
"Rafael Devers",2025,"FA,FC,FS,SI,CH,SL,CU,KC",960,0.2108843537414966,0.48299319727891155,0.30612244897959184,0.06666666666666667,0.2,631,329,960,3.3879024915416673,4.635388158833336,8.828652430208335,"Rafael Devers","17350",646240
"Taylor Walls",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,0.22972972972972974,0.4189189189189189,0.35135135135135137,0.23076923076923078,0,254,124,378,3.7451733179894187,4.615915731746031,8.827343272486774,"Taylor Walls","22458",670764
"Jac Caglianone",2025,"FA,FC,SI,CH,SL,CU,KC",228,0.21739130434782608,0.6304347826086957,0.15217391304347827,0,0.42857142857142855,154,74,228,2.919253376359649,3.094937378508773,8.011643842105263,"Jac Caglianone","35041",695506
"Angel Martínez",2025,"FA,FC,FS,SI,CH,SL,CU,KC",648,0.30701754385964913,0.38596491228070173,0.30701754385964913,0.2571428571428571,0.14285714285714285,432,216,648,3.8480274439814823,4.483855917746915,8.976913518518513,"Angel Martinez","26540",682657
"Andy Ibáñez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",512,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.1388888888888889,0.1111111111111111,326,186,512,3.4739986992773444,3.9145455128417956,8.555573734374999,"Andy Ibanez","18819",628451
"Jeremy Peña",2025,"FA,FC,FS,SI,CH,SL,CU,KC",353,0.15853658536585366,0.524390243902439,0.3170731707317073,0.19230769230769232,0.15384615384615385,242,111,353,4.250606218413597,4.42264080305949,8.908490917847024,"Jeremy Pena","21636",665161
"Ty France",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",575,0.2616822429906542,0.45794392523364486,0.2803738317757009,0.06666666666666667,0.1,379,196,575,3.95747008613913,4.78828250173913,8.908858984347829,"Ty France","17982",664034
"Alex Bregman",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",542,0.2717391304347826,0.44565217391304346,0.2826086956521739,0.3076923076923077,0.11538461538461539,323,219,542,3.101607848726938,4.206848603321033,8.830964732472324,"Alex Bregman","17678",608324
"Austin Wells",2025,"FA,FC,FS,SI,CH,SL,CU,KC",572,0.20430107526881722,0.3763440860215054,0.41935483870967744,0.15384615384615385,0.15384615384615385,368,204,572,2.1901715126048944,3.7965280955419587,7.677623103146853,"Austin Wells","27562",669224
"Max Schuemann",2025,"FA,FC,FS,SI,CH,SL,CU",248,0.24489795918367346,0.4897959183673469,0.2653061224489796,0.07692307692307693,0,153,95,248,4.069585696774194,4.847186703629032,8.991114928629035,"Max Schuemann","24488",680474
"Luis Arraez",2025,"FA,FC,SI,CH,SL,CU,KC",760,0.22413793103448276,0.5,0.27586206896551724,0.22916666666666666,0.08333333333333333,514,246,760,3.6482531394342117,4.812720327894736,9.020695688157893,"Luis Arraez","18568",650333
"Xander Bogaerts",2025,"FA,FC,FS,SI,CH,SL,CU,KC",627,0.24615384615384617,0.43846153846153846,0.3153846153846154,0.12195121951219512,0.07317073170731707,396,231,627,4.613501496969699,4.36524759555024,9.325985939393936,"Xander Bogaerts","12161",593428
"Darell Hernaiz",2025,"FA,FC,FS,SI,CH,SL,CU",219,0.225,0.5,0.275,0.09090909090909091,0.09090909090909091,143,76,219,4.019937260273974,3.7258075707762557,8.890429315068493,"Darell Hernaiz","26224",687231
"Miguel Vargas",2025,"FA,FC,FS,SI,CH,SL,CU,KC",630,0.23214285714285715,0.2767857142857143,0.49107142857142855,0.21818181818181817,0.03636363636363636,386,244,630,4.220275108730157,4.977706331158731,9.13226666190476,"Miguel Vargas","20178",678246
"Edgar Quero",2025,"FA,FC,FS,SI,CH,SL,CU,KC",510,0.2980769230769231,0.5096153846153846,0.19230769230769232,0.2,0.05,322,188,510,4.432666595098041,4.754740280392157,9.146009764705884,"Edgar Quero","28022",700337
"Gleyber Torres",2025,"FA,FC,FS,SI,CH,SL,CU,KC",764,0.2601626016260163,0.35772357723577236,0.3821138211382114,0.06382978723404255,0.14893617021276595,431,333,764,3.4201429840575908,3.892650031553666,8.552039121727748,"Gleyber Torres","16997",650402
"Brooks Lee",2025,"FA,FC,FS,SI,CH,SL,CU,KC",640,0.21212121212121213,0.5075757575757576,0.2803030303030303,0.21621621621621623,0.13513513513513514,430,210,640,2.6472737330156244,3.046738095625,8.213787498437497,"Brooks Lee","31595",686797
"Spencer Torkelson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",769,0.226890756302521,0.2689075630252101,0.5042016806722689,0.2,0.16666666666666666,466,303,769,3.5202885941482447,3.62700296780234,8.514214020806243,"Spencer Torkelson","27465",679529
"Kyle Stowers",2025,"FA,FC,FS,SI,CH,SL,CU,KC",359,0.19718309859154928,0.5070422535211268,0.29577464788732394,0.23809523809523808,0.047619047619047616,238,121,359,2.7538945058495825,4.675261378551531,8.532310036211697,"Kyle Stowers","26151",669065
"Lenyn Sosa",2025,"FA,FC,FS,SI,CH,SL,CU,KC",546,0.3113207547169811,0.32075471698113206,0.36792452830188677,0.20512820512820512,0.1282051282051282,386,160,546,3.7841510901593414,4.765795269780222,9.212381521978024,"Lenyn Sosa","22896",672820
"Cody Bellinger",2025,"FA,FC,FS,SI,CH,SL,CU,KC",693,0.2589928057553957,0.33093525179856115,0.41007194244604317,0.15789473684210525,0.14035087719298245,431,262,693,2.914369501756566,4.068170833477634,8.280922338961037,"Cody Bellinger","15998",641355
"José Ramírez",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC",737,0.28662420382165604,0.33121019108280253,0.3821656050955414,0.35,0.1,463,274,737,3.271042027408414,4.118343400841248,8.537600681139756,"Jose Ramirez","13510",608070
"Matt Shaw",2025,"FA,FC,FS,SI,CH,SL,CU,KC",443,0.1794871794871795,0.46153846153846156,0.358974358974359,0.21428571428571427,0.21428571428571427,298,145,443,3.6685974686230245,4.142106284875846,9.09897541309255,"Matt Shaw","33322",807713
"Max Muncy",2025,"FA,FC,FS,SI,CH,SL,CU,KC",336,0.22448979591836735,0.32653061224489793,0.4489795918367347,0.18181818181818182,0.13636363636363635,207,129,336,2.1645521155952387,3.7890355092261907,8.105577226190476,"Max Muncy","13301",571970
"Jeff McNeil",2025,"FA,FC,FS,SI,CH,SL,CU,KC",414,0.3013698630136986,0.3972602739726027,0.3013698630136986,0.22727272727272727,0.045454545454545456,267,147,414,2.0818564825120776,3.743221712028986,7.838671384057971,"Jeff McNeil","15362",643446
"Cal Raleigh",2025,"FA,FC,FS,SI,CH,SL,CU,KC",830,0.21311475409836064,0.3114754098360656,0.47540983606557374,0.20689655172413793,0.3793103448275862,548,282,830,2.6345892063855434,3.5761570023734945,8.61575534096386,"Cal Raleigh","21534",663728
"Joey Bart",2025,"FA,FC,FS,SI,CH,SL,CU,KC",341,0.32608695652173914,0.41304347826086957,0.2608695652173913,0.08333333333333333,0.25,196,145,341,2.85927893548387,3.5825997229325517,8.592530129032257,"Joey Bart","21524",663698
"Michael Harris II",2025,"FA,FC,FS,SI,CH,SL,CU,KC",593,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.2222222222222222,0.08333333333333333,428,165,593,3.347630636424957,3.914916013676223,8.39499641652614,"Michael Harris II","25931",671739
"Bryce Johnson",2025,"FA,FC,FS,SI,CH,SL,CU",125,0.21739130434782608,0.6086956521739131,0.17391304347826086,0,0,83,42,125,3.7459510568,3.2047835556799993,8.959115008000001,"Bryce Johnson","20002",669369
"J.P. Crawford",2025,"FA,FC,FS,SI,CH,SL,CU,KC",850,0.25874125874125875,0.46153846153846156,0.27972027972027974,0.2,0.1,521,329,850,3.1723946848235296,4.849376065317648,8.888808560000001,"J.P. Crawford","15491",641487
"Yandy Díaz",2025,"FA,FC,FS,SI,CH,SL,CU",694,0.22377622377622378,0.4755244755244755,0.3006993006993007,0.06976744186046512,0.2558139534883721,437,257,694,3.6135191507204607,3.983020047828532,8.667981273775217,"Yandy Diaz","16578",650490
"James Wood",2025,"FA,FC,FS,SI,CH,SL,CU,KC",921,0.2517985611510791,0.4892086330935252,0.2589928057553957,0.027777777777777776,0.3333333333333333,579,342,921,2.6955989903148736,3.6745130208469075,8.0019652844734,"James Wood","29518",695578
"Brady House",2025,"FA,FC,FS,SI,CH,SL,CU",288,0.35185185185185186,0.4444444444444444,0.2037037037037037,0,0,201,87,288,4.54505828125,3.9108934272222218,9.211523038194448,"Brady House","29993",691781
"Jacob Wilson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",418,0.24,0.54,0.22,0.045454545454545456,0.18181818181818182,290,128,418,4.447101671770336,4.522443778229665,8.916487303827752,"Jacob Wilson","33266",805779
"Johan Rojas",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC,EP",278,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.15,0.05,185,93,278,4.090739601438849,4.210607610071942,9.04627201798561,"Johan Rojas","24336",679032
