Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Aaron Judge",2025,"FA,FC,FS,SI,CH,SL,CU,KC",2061,0.23745819397993312,0.33444816053511706,0.4280936454849498,0.1328125,0.2890625,1208,853,2061,-2.084845910630762,3.49240380361475,8.032444784085394,"Aaron Judge","15640",592450
"Jazz Chisholm Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1564,0.19369369369369369,0.35585585585585583,0.45045045045045046,0.19,0.25,963,601,1564,-3.3031950949488484,3.981329423062661,8.780482347826089,"Jazz Chisholm Jr.","20454",665862
"Manny Machado",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1937,0.27450980392156865,0.38935574229691877,0.33613445378151263,0.20833333333333334,0.125,1246,691,1937,-2.5572027967630353,4.01392400671141,8.415131325761484,"Manny Machado","11493",592518
"Luis Arraez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1707,0.3076923076923077,0.4149184149184149,0.2773892773892774,0.12605042016806722,0.03361344537815126,1182,525,1707,-3.7720948117750432,4.990918565084943,9.17319393380199,"Luis Arraez","18568",650333
"Carson Kelly",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1173,0.215,0.385,0.4,0.225,0.15,718,455,1173,-1.906090571184996,4.015409232167945,8.126494035805626,"Carson Kelly","13620",608348
"Dansby Swanson",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",2004,0.23795180722891565,0.4126506024096386,0.3493975903614458,0.1724137931034483,0.14655172413793102,1275,729,2004,-1.8893629975998005,3.9457549366267486,7.828672003193612,"Dansby Swanson","18314",621020
"Vladimir Guerrero Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1901,0.2545931758530184,0.47244094488188976,0.27296587926509186,0.25,0.16346153846153846,1143,758,1901,-3.160259297711731,4.3686500812046285,8.510357086270384,"Vladimir Guerrero Jr.","19611",665489
"Bo Bichette",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1804,0.2994652406417112,0.47593582887700536,0.22459893048128343,0.15476190476190477,0.13095238095238096,1189,615,1804,-2.5391072160886914,4.364156179783814,8.487270150776054,"Bo Bichette","19612",666182
"Fernando Tatis Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1925,0.20821114369501467,0.5073313782991202,0.2844574780058651,0.1958762886597938,0.20618556701030927,1157,768,1925,-3.2291063480623348,3.8612903262857143,8.640138618701302,"Fernando Tatis Jr.","19709",665487
"Vinnie Pasquantino",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1950,0.25,0.36,0.39,0.20512820512820512,0.16666666666666666,1243,707,1950,-3.295947302871795,4.035732331092308,8.713900857435895,"Vinnie Pasquantino","27676",686469
"Andrew Benintendi",2025,"FA,FC,FS,SI,CH,SL,CU,KC,SC",1400,0.20220588235294118,0.3235294117647059,0.4742647058823529,0.24031007751937986,0.10852713178294573,855,545,1400,-3.413091279999999,4.152330854021428,8.757049487857145,"Andrew Benintendi","17901",643217
"Kyle Isbel",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1187,0.216,0.472,0.312,0.3333333333333333,0.05128205128205128,790,397,1187,-2.9329868703622575,4.326017978112889,8.63482002021904,"Kyle Isbel","21614",664728
"Bobby Witt Jr.",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1980,0.24,0.3775,0.3825,0.20915032679738563,0.1437908496732026,1287,693,1980,-1.9713127820454548,4.384427471616161,7.981877504545452,"Bobby Witt Jr.","25764",677951
"Steven Kwan",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1941,0.2961038961038961,0.36363636363636365,0.34025974025974026,0.15267175572519084,0.08396946564885496,1228,713,1941,-3.8180205587016993,4.523675227769191,8.913947087068523,"Steven Kwan","24610",680757
"Austin Hays",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1177,0.215311004784689,0.430622009569378,0.35406698564593303,0.14864864864864866,0.17567567567567569,781,396,1177,-1.6985860161189463,3.3679444042285467,7.564615032625319,"Austin Hays","19363",669720
"Javier Báez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1065,0.19138755980861244,0.44019138755980863,0.3684210526315789,0.18181818181818182,0.12987012987012986,740,325,1065,-1.9191244173239441,3.9042975809859146,8.290567737089205,"Javier Baez","12979",595879
