Name,Season,Pitch,Pitches,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,NameASCII,PlayerId,MLBAMID
"Aaron Judge",2025,"FA,FC,FS,SI,CH,SL,CU,KC",2061,0.2163965681601525,0.6620553359683794,0.43522561863173215,0.3436123348017621,0.7955223880597015,0.6811594202898551,0.4910237748665696,0.13876758854924795,-54.786522000000005,-2.658249490538574,"Aaron Judge","15640",592450
"Jazz Chisholm Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1564,0.2669220945083014,0.6645326504481434,0.46547314578005117,0.4688995215311005,0.7784200385356455,0.6895604395604396,0.4993606138107417,0.1445012787723785,-14.270553199999984,-0.9124394629156001,"Jazz Chisholm Jr.","20454",665862
"Manny Machado",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1937,0.2839779005524862,0.6947674418604651,0.5028394424367578,0.48638132295719844,0.8549511854951185,0.757700205338809,0.5327826535880227,0.12183789364997419,-3.8773102999999964,-0.20017089829633436,"Manny Machado","11493",592518
"Luis Arraez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1707,0.34718498659517427,0.6056191467221644,0.4926772114821324,0.9382239382239382,0.9759450171821306,0.9643281807372176,0.5629759812536614,0.01757469244288225,-4.443969799999996,-0.2603380082015229,"Luis Arraez","18568",650333
"Carson Kelly",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1173,0.205607476635514,0.6191222570532915,0.43052003410059675,0.6,0.8886075949367088,0.8257425742574257,0.5439045183290707,0.07502131287297528,-0.8210192000000016,-0.06999311167945453,"Carson Kelly","13620",608348
"Dansby Swanson",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",2004,0.23960612691466082,0.7165137614678899,0.499001996007984,0.4063926940639269,0.8066581306017926,0.719,0.5439121756487026,0.14021956087824353,7.360313600000004,0.36728111776447125,"Dansby Swanson","18314",621020
"Vladimir Guerrero Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1901,0.21787709497206703,0.6063618290258449,0.42346133613887427,0.6,0.8573770491803279,0.7950310559006211,0.5291951604418726,0.08679642293529721,-13.297143700000003,-0.6994815202524989,"Vladimir Guerrero Jr.","19611",665489
"Bo Bichette",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1804,0.3314350797266515,0.6911447084233261,0.5160753880266076,0.6494845360824743,0.9109375,0.8292158968850698,0.5133037694013304,0.08813747228381374,-15.211477800000003,-0.8432083037694015,"Bo Bichette","19612",666182
"Fernando Tatis Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1925,0.23260643821391486,0.6746361746361746,0.4535064935064935,0.47767857142857145,0.8382126348228043,0.7457044673539519,0.49974025974025976,0.11532467532467533,-27.3627935,-1.421443818181818,"Fernando Tatis Jr.","19709",665487
"Vinnie Pasquantino",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1950,0.2957600827300931,0.6388606307222787,0.4687179487179487,0.6433566433566433,0.9331210191082803,0.8424507658643327,0.5041025641025642,0.07384615384615385,-19.150827,-0.9820936923076923,"Vinnie Pasquantino","27676",686469
"Andrew Benintendi",2025,"FA,FC,FS,SI,CH,SL,CU,KC,SC",1400,0.26912181303116145,0.6930835734870316,0.47928571428571426,0.6947368421052632,0.8378378378378378,0.797317436661699,0.4957142857142857,0.09714285714285714,-1.1798775999999975,-0.08427697142857125,"Andrew Benintendi","17901",643217
"Kyle Isbel",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1187,0.25918762088974856,0.608955223880597,0.45661331086773377,0.5447761194029851,0.9583333333333334,0.8560885608856088,0.5644481887110362,0.06571187868576242,6.456024199999998,0.5438942038753157,"Kyle Isbel","21614",664728
"Bobby Witt Jr.",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1980,0.30987394957983194,0.6974708171206225,0.5111111111111111,0.5796610169491525,0.8619246861924686,0.7796442687747036,0.5191919191919192,0.11262626262626263,-18.970818200000007,-0.9581221313131317,"Bobby Witt Jr.","25764",677951
