Name,Season,Pitch,Pitches,S-Swing%,S-Contact%,S-Zone%,SI-Swing%,SI-Contact%,SI-Zone%,SO-Swing%,SO-Contact%,SO-Zone%,NameASCII,PlayerId,MLBAMID
"Gleyber Torres",2025,"FA,FC,FS,SI,CH,SL,CU,KC",764,0.4,0.7835820895522388,0.43848167539267013,0.46629213483146065,0.8072289156626506,0.23298429319371727,0.3248407643312102,0.7450980392156863,0.2054973821989529,"Gleyber Torres","16997",650402
"Rafael Devers",2025,"FA,FC,FS,SI,CH,SL,CU,KC",960,0.5380577427821522,0.7268292682926829,0.396875,0.6018957345971564,0.7480314960629921,0.21979166666666666,0.4588235294117647,0.6923076923076923,0.17708333333333334,"Rafael Devers","17350",646240
"Taylor Walls",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,0.5089820359281437,0.7529411764705882,0.4417989417989418,0.5612244897959183,0.8909090909090909,0.25925925925925924,0.43478260869565216,0.5,0.18253968253968253,"Taylor Walls","22458",670764
"Orlando Arcia",2025,"FA,FC,FS,SI,CH,SL,CU,KC",192,0.6666666666666666,0.7962962962962963,0.421875,0.6818181818181818,0.7333333333333333,0.22916666666666666,0.6486486486486487,0.875,0.19270833333333334,"Orlando Arcia","13185",606115
"Nolan Arenado",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,0.6219512195121951,0.8725490196078431,0.43386243386243384,0.6704545454545454,0.9491525423728814,0.2328042328042328,0.5657894736842105,0.7674418604651163,0.20105820105820105,"Nolan Arenado","9777",571448
"Jonah Heim",2025,"FA,FC,FS,SI,CH,SL,CU,KC",531,0.49795918367346936,0.7786885245901639,0.4613935969868173,0.5966386554621849,0.7605633802816901,0.224105461393597,0.40476190476190477,0.803921568627451,0.23728813559322035,"Jonah Heim","16930",641680
"Yandy Díaz",2025,"FA,FC,FS,SI,CH,SL,CU",694,0.5,0.8552631578947368,0.43804034582132567,0.572289156626506,0.8842105263157894,0.23919308357348704,0.41304347826086957,0.8070175438596491,0.1988472622478386,"Yandy Diaz","16578",650490
"Junior Caminero",2025,"FA,FC,FS,SI,CH,SL,CU,KC",740,0.57,0.783625730994152,0.40405405405405403,0.6282051282051282,0.8061224489795918,0.20945945945945946,0.5069444444444444,0.7534246575342466,0.1945945945945946,"Junior Caminero","28163",691406
"Dylan Carlson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",280,0.5203252032520326,0.734375,0.4392857142857143,0.6901408450704225,0.7142857142857143,0.25357142857142856,0.28846153846153844,0.8,0.18571428571428572,"Dylan Carlson","20126",666185
"Victor Scott II",2025,"FA,FC,FS,SI,CH,SL,CU,KC",461,0.5333333333333333,0.6041666666666666,0.39045553145336226,0.6176470588235294,0.6507936507936508,0.22125813449023862,0.4230769230769231,0.5151515151515151,0.16919739696312364,"Victor Scott II","31349",687363
