Name,Season,Pitch,Pitches,S-Swing%,S-Contact%,S-Zone%,SI-Swing%,SI-Contact%,SI-Zone%,SO-Swing%,SO-Contact%,SO-Zone%,NameASCII,PlayerId,MLBAMID
"Aaron Judge",2025,"FA,FC,FS,SI,CH,SL,CU,KC",2061,0.48639455782312924,0.62004662004662,0.4269771955361475,0.5899581589958159,0.6773049645390071,0.2309558466763707,0.36386138613861385,0.5102040816326531,0.19602134885977682,"Aaron Judge","15640",592450
"Jazz Chisholm Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1564,0.509090909090909,0.6565934065934066,0.4571611253196931,0.6164383561643836,0.6977777777777778,0.23337595907928388,0.39714285714285713,0.5899280575539568,0.2237851662404092,"Jazz Chisholm Jr.","20454",665862
"Manny Machado",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1937,0.5394896719319563,0.7567567567567568,0.42488384099122356,0.6036446469248291,0.8188679245283019,0.22663913267940114,0.4661458333333333,0.664804469273743,0.1982447083118224,"Manny Machado","11493",592518
"Luis Arraez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1707,0.5535714285714286,0.9652605459057072,0.4253075571177504,0.5860349127182045,0.9574468085106383,0.23491505565319273,0.5137614678899083,0.9761904761904762,0.19039250146455772,"Luis Arraez","18568",650333
"Carson Kelly",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1173,0.4621676891615542,0.7876106194690266,0.41602728047740833,0.5475285171102662,0.8263888888888888,0.22335890878090367,0.36283185840707965,0.7195121951219512,0.1926683716965047,"Carson Kelly","13620",608348
"Dansby Swanson",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",2004,0.5519630484988453,0.6820083682008368,0.43213572854291415,0.6334012219959266,0.752411575562701,0.24500998003992017,0.44533333333333336,0.5508982035928144,0.18712574850299402,"Dansby Swanson","18314",621020
"Vladimir Guerrero Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1901,0.463785046728972,0.7858942065491183,0.4492372435560231,0.5590062111801242,0.8074074074074075,0.253550762756444,0.34048257372654156,0.7401574803149606,0.19568648079957918,"Vladimir Guerrero Jr.","19611",665489
"Bo Bichette",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1804,0.5796178343949044,0.8395604395604396,0.4351441241685144,0.6367924528301887,0.8851851851851852,0.23503325942350334,0.5124653739612188,0.772972972972973,0.20011086474501108,"Bo Bichette","19612",666182
"Fernando Tatis Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1925,0.474390243902439,0.7686375321336761,0.42597402597402595,0.5472636815920398,0.8454545454545455,0.20883116883116884,0.4043062200956938,0.6686390532544378,0.21714285714285714,"Fernando Tatis Jr.","19709",665487
"Vinnie Pasquantino",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1950,0.5358851674641149,0.8638392857142857,0.4287179487179487,0.581858407079646,0.908745247148289,0.2317948717948718,0.4817708333333333,0.8,0.19692307692307692,"Vinnie Pasquantino","27676",686469
"Andrew Benintendi",2025,"FA,FC,FS,SI,CH,SL,CU,KC,SC",1400,0.5421875,0.7982708933717579,0.45714285714285713,0.6355421686746988,0.8104265402843602,0.23714285714285716,0.44155844155844154,0.7794117647058824,0.22,"Andrew Benintendi","17901",643217
"Kyle Isbel",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1187,0.5057251908396947,0.8490566037735849,0.44144903117101936,0.5827586206896552,0.9053254437869822,0.2443133951137321,0.41025641025641024,0.75,0.1971356360572873,"Kyle Isbel","21614",664728
"Bobby Witt Jr.",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1980,0.5668711656441717,0.79004329004329,0.4111111111111111,0.6401869158878505,0.8613138686131386,0.21616161616161617,0.48578811369509045,0.6861702127659575,0.19494949494949496,"Bobby Witt Jr.","25764",677951
"Steven Kwan",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1941,0.4697508896797153,0.9191919191919192,0.43431221020092736,0.5478841870824054,0.9512195121951219,0.23132405976300877,0.38071065989847713,0.8666666666666667,0.2029881504379186,"Steven Kwan","24610",680757
"Austin Hays",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1177,0.6021052631578947,0.6643356643356644,0.40271877655055227,0.6439393939393939,0.7,0.22344944774851316,0.5497630331753555,0.6120689655172413,0.17926932880203908,"Austin Hays","19363",669720
"Javier Báez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1065,0.6142857142857143,0.7790697674418605,0.39248826291079814,0.618421052631579,0.8226950354609929,0.21220657276995306,0.609375,0.7264957264957265,0.18028169014084508,"Javier Baez","12979",595879
"Yandy Díaz",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1824,0.46547314578005117,0.8269230769230769,0.4281798245614035,0.5469879518072289,0.8590308370044053,0.22697368421052633,0.37329700272479566,0.7737226277372263,0.2012061403508772,"Yandy Diaz","16578",650490
"Nico Hoerner",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1832,0.5121638924455826,0.9175,0.42412663755458513,0.5650118203309693,0.9581589958158996,0.2287117903930131,0.44972067039106145,0.8571428571428571,0.19541484716157206,"Nico Hoerner","21479",663538
"Gabriel Arias",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1249,0.615678776290631,0.6211180124223602,0.4187349879903923,0.6526315789473685,0.7096774193548387,0.22818254603682947,0.5714285714285714,0.5,0.19055244195356286,"Gabriel Arias","22563",672356
