Name,Season,Pitch,Pitches,Vertical Break,Vertical Drop,Horizontal Break,ArmAngle,SpinRate,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,NameASCII,PlayerId,MLBAMID
"Ben Williamson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",398,7.819158556859297,28.123919698492468,4.5162395577889445,39.64433821608041,2181.934673366834,67,91.0878787878788,104.5,110.4,5.196969696969697,3,0.04477611940298507,29,0.43283582089552236,"Ben Williamson","33197",810938
"Ernie Clement",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",585,6.964114001606837,29.09461362393163,5.039252323076924,38.80466341709401,2161.17264957265,160,87.52784810126583,100.3,108.9,20.145569620253166,7,0.04375,47,0.29375,"Ernie Clement","20352",676391
"Vladimir Guerrero Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC",601,7.418193652745423,28.07004825291181,6.3726608765391,38.40940057570715,2138.7004991680533,115,93.38684210526316,110.3,115.2,7.191304347826087,16,0.1391304347826087,59,0.5130434782608696,"Vladimir Guerrero Jr.","19611",665489
"Junior Caminero",2025,"FA,FC,FS,SI,CH,SL,CU,KC",740,6.206253819729731,29.91630402702703,5.77827739662162,36.79663187837838,2161.741891891892,148,92.23537414965985,109.3,115.5,6.5,19,0.12837837837837837,78,0.527027027027027,"Junior Caminero","28163",691406
"J.T. Realmuto",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",650,7.512433663584615,28.47887706153845,5.746666685446156,37.68223940000001,2179.7953846153846,112,90.62500000000001,106.8,110.4,9.633928571428571,13,0.11607142857142858,55,0.49107142857142855,"J.T. Realmuto","11739",592663
"Nick Castellanos",2025,"FA,FC,FS,SI,CH,SL,CU,KC",704,6.398319034659091,29.55034109375,5.437212022159091,37.44748683238637,2182.0298295454545,126,89.59365079365084,104.3,109,18.76984126984127,8,0.06349206349206349,49,0.3888888888888889,"Nick Castellanos","11737",592206
"Trea Turner",2025,"FA,FC,FS,SI,CH,SL,CU,KC",773,6.631125745795601,28.867720012936605,5.974800603492885,36.166446106080194,2208.0672703751616,157,90.68853503184714,104.4,111.7,15.292993630573248,6,0.03821656050955414,66,0.42038216560509556,"Trea Turner","16252",607208
"Ozzie Albies",2025,"FA,FC,FS,SI,CH,SL,CU,KC",595,6.3976537492436965,30.07168174789917,4.881577334705881,40.11125647058824,2151.783193277311,162,89.40802469135802,105.1,109.9,11.166666666666666,9,0.05555555555555555,55,0.3395061728395062,"Ozzie Albies","16556",645277
"Kyle Tucker",2025,"FA,FC,SI,CH,SL,CU,KC",757,7.202155746221929,27.875542562747693,4.105051226420079,37.58211571994715,2333.542932628798,137,88.9992647058824,103,108.1,17.580882352941178,12,0.08759124087591241,53,0.38686131386861317,"Kyle Tucker","18345",663656
"Pete Crow-Armstrong",2025,"FA,FC,SI,CH,SL,CU,KC,EP",689,5.438529514804064,30.849039158200288,2.2167905824383154,36.47335515529754,2358.412191582003,125,86.58389830508477,103.9,111.8,21.076271186440678,15,0.12,42,0.336,"Pete Crow-Armstrong","27769",691718
"Will Smith",2025,"FA,FC,FS,SI,CH,SL,CU,KC",491,5.845479036252545,29.97144054989816,4.405963646435846,37.53174584521385,2176.979633401222,67,91.86716417910448,105.1,107,16.925373134328357,8,0.11940298507462686,35,0.5223880597014925,"Will Smith","19197",669257
"Shohei Ohtani",2025,"FA,FC,FS,SI,CH,SL,CU,KC",913,6.310185103307775,28.86698296823659,3.5822428348959465,37.74308296823659,2282.049288061336,155,93.14838709677421,109.5,115.9,13.69032258064516,36,0.23225806451612904,84,0.5419354838709678,"Shohei Ohtani","19755",660271
"Juan Soto",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1015,6.054589450443348,29.004200108374377,4.196187266502464,36.73755318226601,2310.574384236453,155,91.17843137254901,106.9,115,13.326797385620916,28,0.18064516129032257,72,0.4645161290322581,"Juan Soto","20123",665742
"Alec Bohm",2025,"FA,FC,FS,SI,CH,SL,CU,KC",494,6.598261963562753,29.36659522267206,5.707647689271255,36.38257004048583,2199.566801619433,103,90.90776699029128,105.1,109.3,10,8,0.07766990291262135,50,0.4854368932038835,"Alec Bohm","21618",664761
"Jacob Young",2025,"FA,FC,FS,SI,CH,SL,CU,KC",404,7.089112138316831,28.718996683168314,6.889501769801981,35.69244878712872,2196.2425742574255,73,88.97424242424242,101.6,107,2.4545454545454546,1,0.0136986301369863,28,0.3835616438356164,"Jacob Young","29931",696285
"Freddie Freeman",2025,"FA,FC,FS,SI,CH,SL,CU,KC",647,6.135161979938177,29.464982024729512,2.9593986655826896,37.1598324729521,2280.5224111282846,118,89.58974358974358,103.8,108.8,13.863247863247864,14,0.11864406779661017,52,0.4406779661016949,"Freddie Freeman","5361",518692
"Gavin Sheets",2025,"FA,FC,SI,CH,SL,CU,KC",590,5.5273098583050855,29.814261016949143,3.026335405932204,37.575686237288124,2296.262711864407,115,86.77652173913044,104.4,107.5,8.434782608695652,4,0.034782608695652174,45,0.391304347826087,"Gavin Sheets","19901",657757
"Kyle Schwarber",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC",1183,5.6622397472865575,30.159174142011842,2.7300684350803035,36.51549162214707,2313.8444632290784,158,91.63121019108277,109.3,116.7,22.191082802547772,32,0.20253164556962025,85,0.5379746835443038,"Kyle Schwarber","16478",656941
"TJ Friedl",2025,"FA,FC,FS,SI,CH,SL,CU,KC",741,7.252109683130902,27.967701781376505,4.602839387921727,37.23802165721998,2298.4601889338733,141,85.17777777777776,100.4,107.3,10.746031746031745,4,0.028368794326241134,34,0.24113475177304963,"TJ Friedl","19522",670770
"Orlando Arcia",2025,"FA,FC,FS,SI,CH,SL,CU,KC",192,7.16963376796875,28.622461093750005,4.810029465468749,40.63357760416667,2229.296875,43,88.96666666666667,102.4,108,17.904761904761905,1,0.023255813953488372,15,0.3488372093023256,"Orlando Arcia","13185",606115
"Christian Walker",2025,"FA,FC,FS,SI,CH,SL,CU,KC",524,7.5262401473282425,27.836752843511455,6.124788314885497,37.554719961832056,2216.9503816793895,88,92.21022727272727,106.6,110.9,20.193181818181817,10,0.11363636363636363,39,0.4431818181818182,"Christian Walker","13419",572233
"Maikel Garcia",2025,"FA,FC,FS,SI,CH,SL,CU,KC",546,7.476356904029304,28.13461712454213,5.192130374358975,39.389993113553125,2193.7820512820513,101,91.43195876288661,106.3,109.4,9.505154639175258,6,0.0594059405940594,44,0.43564356435643564,"Maikel Garcia","22715",672580
"Nick Loftin",2025,"FA,FC,FS,SI,CH,SL,CU,KC",276,6.7218318692029,29.935339637681164,6.104881680072462,36.41479065217391,2132.7391304347825,50,88.85000000000002,102.7,104.9,18.3,4,0.08,18,0.36,"Nick Loftin","27630",679845
"Ceddanne Rafaela",2025,"FA,FC,FS,SI,CH,SL,CU,KC",621,6.0979689671819655,30.4052554589372,4.366424388083737,38.704958228663436,2200.4830917874397,120,89.74789915966386,104.5,112.1,11.655462184873949,17,0.14166666666666666,50,0.4166666666666667,"Ceddanne Rafaela","24262",678882
"Nolan Arenado",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,6.947865099206349,29.045856402116403,6.283791057407408,40.80676185185184,2170.785714285714,97,87.01979166666668,102.1,108.3,23.708333333333332,2,0.020618556701030927,30,0.30927835051546393,"Nolan Arenado","9777",571448
"Bo Naylor",2025,"FA,FC,SI,CH,SL,CU,KC",309,6.016997813268606,29.689851294498375,2.7129168770226544,36.59906214239481,2323.957928802589,65,85.42063492063491,98.6,104.9,22.873015873015873,2,0.03076923076923077,12,0.18461538461538463,"Bo Naylor","21865",666310
"Rafael Devers",2025,"FA,FC,FS,SI,CH,SL,CU,KC",960,7.758219520468754,27.31042072916667,4.779880066166667,36.84231447916669,2281.5,149,92.3285714285714,106.9,111.7,8.646258503401361,18,0.12080536912751678,81,0.5436241610738255,"Rafael Devers","17350",646240
"Taylor Walls",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,7.718844166666665,27.017144814814817,5.4824289023544965,37.94724150793651,2243.9761904761904,75,86.57042253521125,98.5,102.5,14.985915492957746,1,0.013333333333333334,18,0.24,"Taylor Walls","22458",670764
"Jac Caglianone",2025,"FA,FC,SI,CH,SL,CU,KC",228,5.0967866152631585,30.708926535087716,4.027756560964912,34.93902592105263,2311.7105263157896,46,85.29347826086955,110.2,113.6,-11.23913043478261,4,0.08695652173913043,17,0.3695652173913043,"Jac Caglianone","35041",695506
"Angel Martínez",2025,"FA,FC,FS,SI,CH,SL,CU,KC",648,7.498780778935185,28.075288811728388,5.664227814969135,38.44407658950616,2209.621913580247,118,87.51160714285716,104.7,107.4,16,5,0.0423728813559322,40,0.3389830508474576,"Angel Martinez","26540",682657
"Andy Ibáñez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",512,6.513529503710938,29.799364511718757,5.0080098671875,38.348445078125,2172.646484375,103,90.36372549019606,103.1,108.9,15.563106796116505,7,0.06796116504854369,46,0.44660194174757284,"Andy Ibanez","18819",628451
"Jeremy Peña",2025,"FA,FC,FS,SI,CH,SL,CU,KC",353,7.392914369688386,28.7611176203966,6.373558776203964,37.81208461756375,2177.2606232294615,83,89.4111111111111,104.6,108.1,10.333333333333334,7,0.08433734939759036,42,0.5060240963855421,"Jeremy Pena","21636",665161
"Ty France",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",575,8.024199328173916,27.56810615652175,5.86584514921739,38.55392525217391,2191.7860869565216,109,89.42685185185184,105.5,110.5,10.74074074074074,13,0.11926605504587157,47,0.43119266055045874,"Ty France","17982",664034
"Alex Bregman",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",542,7.018978319372695,29.56811739852399,4.20780866291513,38.535101683210335,2170.3136531365312,93,90.39247311827958,103.1,109.6,12.225806451612904,3,0.03225806451612903,45,0.4838709677419355,"Alex Bregman","17678",608324
"Austin Wells",2025,"FA,FC,FS,SI,CH,SL,CU,KC",572,6.311120614475525,29.51529784965036,2.7457023520979025,36.78858747027972,2298.263986013986,93,90.69560439560443,105.9,109.1,17.01098901098901,8,0.08602150537634409,42,0.45161290322580644,"Austin Wells","27562",669224
"Max Schuemann",2025,"FA,FC,FS,SI,CH,SL,CU",248,8.127126407258064,27.024446814516132,6.054606053225807,39.6005860483871,2231.451612903226,50,88.11020408163266,101,107.6,6.285714285714286,1,0.02,18,0.36,"Max Schuemann","24488",680474
"Luis Arraez",2025,"FA,FC,SI,CH,SL,CU,KC",760,8.072427428447368,26.673356486842106,5.291722994605263,37.84472756578948,2278.440789473684,187,84.03625730994156,95.1,107.8,11.029239766081872,1,0.0053475935828877,20,0.10695187165775401,"Luis Arraez","18568",650333
"Xander Bogaerts",2025,"FA,FC,FS,SI,CH,SL,CU,KC",627,7.293657536937796,28.225832424242423,7.012970506539072,37.12042096810206,2156.6140350877195,132,93.14122137404577,107.2,112.2,12.595419847328245,12,0.09090909090909091,66,0.5,"Xander Bogaerts","12161",593428
"Darell Hernaiz",2025,"FA,FC,FS,SI,CH,SL,CU",219,6.187812401826485,29.795634611872146,5.967129126940638,39.448329132420085,2200.5753424657532,43,86.06190476190476,99.4,103.7,7.071428571428571,1,0.023255813953488372,12,0.27906976744186046,"Darell Hernaiz","26224",687231
"Miguel Vargas",2025,"FA,FC,FS,SI,CH,SL,CU,KC",630,8.352029737142853,27.16027611111111,6.329385657619047,38.81596203174605,2174.1761904761906,112,88.81160714285713,101.7,110.8,23.696428571428573,7,0.0625,43,0.38392857142857145,"Miguel Vargas","20178",678246
"Edgar Quero",2025,"FA,FC,FS,SI,CH,SL,CU,KC",510,7.969338200980393,27.690805627450974,6.699972737588234,40.70917662745101,2140.0588235294117,106,90.54811320754719,103.9,109.8,6.933962264150943,3,0.02830188679245283,50,0.4716981132075472,"Edgar Quero","28022",700337
"Gleyber Torres",2025,"FA,FC,FS,SI,CH,SL,CU,KC",764,6.476348755759164,29.63517066753926,4.910308820287959,38.595358350785354,2166.0903141361255,123,92.95934959349592,106.4,110.9,15.317073170731707,10,0.08130081300813008,60,0.4878048780487805,"Gleyber Torres","16997",650402
"Brooks Lee",2025,"FA,FC,FS,SI,CH,SL,CU,KC",640,5.01579393921875,32.207146406250004,3.5766071140625,37.217235546875,2174.5703125,133,88.70151515151514,102.3,108,9.325757575757576,10,0.07518796992481203,57,0.42857142857142855,"Brooks Lee","31595",686797
"Spencer Torkelson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",769,6.018039747854356,30.42446992197659,5.090834478413525,37.60520312743824,2152.9544863459037,120,90.16833333333331,105.4,108.9,23.025,16,0.13333333333333333,53,0.44166666666666665,"Spencer Torkelson","27465",679529
"Kyle Stowers",2025,"FA,FC,FS,SI,CH,SL,CU,KC",359,7.829796222284127,26.868949972144854,3.7364017576601674,36.81800618384402,2316.300835654596,71,86.66338028169014,105.1,110.1,10.04225352112676,6,0.08450704225352113,28,0.39436619718309857,"Kyle Stowers","26151",669065
"Lenyn Sosa",2025,"FA,FC,FS,SI,CH,SL,CU,KC",546,7.98689040675824,27.91061078754577,5.555462926556778,41.126472095238086,2167.9065934065934,106,90.05094339622643,106.2,110.3,17.70754716981132,13,0.12264150943396226,46,0.4339622641509434,"Lenyn Sosa","22896",672820
"Cody Bellinger",2025,"FA,FC,FS,SI,CH,SL,CU,KC",693,6.77989462935065,28.596861515151502,4.019150904329005,37.316803780663776,2294.718614718615,140,88.22714285714285,101.8,109.1,17.214285714285715,12,0.08571428571428572,55,0.39285714285714285,"Cody Bellinger","15998",641355
"José Ramírez",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC",737,6.866663217232022,29.099330841248314,4.647597132157396,38.844924843962005,2193.57394843962,159,90.74213836477988,106.8,111.6,18.30188679245283,8,0.050314465408805034,70,0.44025157232704404,"Jose Ramirez","13510",608070
"Matt Shaw",2025,"FA,FC,FS,SI,CH,SL,CU,KC",443,6.908469302528215,29.294581083521436,5.3532164251918735,38.73684343115123,2235.887133182844,79,87.2168831168831,102.7,109.2,8.454545454545455,6,0.0759493670886076,27,0.34177215189873417,"Matt Shaw","33322",807713
"Max Muncy",2025,"FA,FC,FS,SI,CH,SL,CU,KC",336,6.29753367559524,29.795757053571432,2.6970593374107152,39.29193580357144,2261.035714285714,49,91.29591836734696,105.1,108.6,19.020408163265305,8,0.16326530612244897,27,0.5510204081632653,"Max Muncy","13301",571970
"Jeff McNeil",2025,"FA,FC,FS,SI,CH,SL,CU,KC",414,6.223704307487922,29.211092439613523,2.521114899033817,38.07594830917875,2323.814009661836,75,83.71232876712328,100.9,104.6,11.164383561643836,6,0.08,21,0.28,"Jeff McNeil","15362",643446
"Cal Raleigh",2025,"FA,FC,FS,SI,CH,SL,CU,KC",830,5.929253348313251,30.598513795180722,3.526441230722892,37.44198937349398,2178.7506024096388,125,91.63145161290323,107,114.7,20.298387096774192,31,0.248,63,0.504,"Cal Raleigh","21534",663728
"Joey Bart",2025,"FA,FC,FS,SI,CH,SL,CU,KC",341,5.938127557184751,30.77920844574781,3.9259005571847494,35.96751445747801,2228.8240469208213,46,87.87391304347825,106,108.7,13.195652173913043,4,0.08695652173913043,22,0.4782608695652174,"Joey Bart","21524",663698
"Michael Harris II",2025,"FA,FC,FS,SI,CH,SL,CU,KC",593,6.514854875548061,28.61794537942664,4.78254400564924,38.52123801686341,2284.148397976391,137,88.16060606060606,107.2,111.7,7.871212121212121,8,0.058394160583941604,51,0.3722627737226277,"Michael Harris II","25931",671739
"Bryce Johnson",2025,"FA,FC,FS,SI,CH,SL,CU",125,5.286750304799998,30.777178399999997,5.4843728688,38.2752008,2226.216,25,89.14210526315792,100.9,106.7,5.842105263157895,1,0.04,7,0.28,"Bryce Johnson","20002",669369
"J.P. Crawford",2025,"FA,FC,FS,SI,CH,SL,CU,KC",850,8.132261683600001,26.922007200000007,4.48053095035294,37.24886877999999,2266.6035294117646,146,86.11197183098592,101.5,106.9,11.816901408450704,5,0.03424657534246575,46,0.3150684931506849,"J.P. Crawford","15491",641487
"Yandy Díaz",2025,"FA,FC,FS,SI,CH,SL,CU",694,6.628021189769454,29.132818083573486,5.261605134005764,36.33762610951008,2198.4164265129684,145,95.59652777777775,109.3,113.6,7.875,12,0.08275862068965517,85,0.5862068965517241,"Yandy Diaz","16578",650490
"James Wood",2025,"FA,FC,FS,SI,CH,SL,CU,KC",921,6.099103535722042,29.82908317046689,3.6336853073615627,35.59674690553745,2304.331161780673,140,93.0611510791367,110.7,118,5.884892086330935,21,0.15,80,0.5714285714285714,"James Wood","29518",695578
"Brady House",2025,"FA,FC,FS,SI,CH,SL,CU",288,6.5079007038194465,29.10149618055557,6.892380202430555,36.24141673611111,2128.5381944444443,54,94.15283018867925,107.1,111.5,5.018867924528302,2,0.037037037037037035,34,0.6296296296296297,"Brady House","29993",691781
"Jacob Wilson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",418,7.5655148961722505,27.189955789473693,6.719782006674642,37.12689052631578,2175.5885167464116,104,85.49702970297027,99.8,105.2,7.584158415841584,2,0.019230769230769232,26,0.25,"Jacob Wilson","33266",805779
"Johan Rojas",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC,EP",278,7.025649351115108,29.070923741007192,6.10345454971223,35.69204220143885,2218.679856115108,54,88.28333333333336,103.5,112.4,13.375,2,0.037037037037037035,15,0.2777777777777778,"Johan Rojas","24336",679032
"Josh Naylor",2025,"FA,FC,FS,SI,CH,SL,CU,KC",649,5.8945183109399055,30.195065963020046,2.3479765763636373,37.15637489984592,2299.060092449923,148,86.93716216216221,103.4,108.8,11.16891891891892,6,0.04054054054054054,50,0.33783783783783783,"Josh Naylor","18839",647304
"Randal Grichuk",2025,"FA,FC,FS,SI,CH,SL,CU,KC",657,6.643180150380513,29.55933875190259,4.063214130745816,37.96198625570776,2215.89497716895,128,92.51718750000002,108.1,115.5,19.46875,17,0.1328125,64,0.5,"Randal Grichuk","10243",545341
"Jung Hoo Lee",2025,"FA,FC,SI,CH,SL,CU,KC",648,6.976973397376544,28.3212362808642,4.822498277469136,35.36455964506173,2261.527777777778,128,83.97698412698414,99.7,104.6,4.880952380952381,3,0.0234375,33,0.2578125,"Jung Hoo Lee","33824",808982
"Mookie Betts",2025,"FA,FC,FS,SI,CH,SL,CU,KC",701,7.38139829987161,27.48463783166905,6.920663167189729,38.3583832382311,2138.7517831669043,150,89.81399999999996,102.4,108.4,16.413333333333334,9,0.06,59,0.3933333333333333,"Mookie Betts","13611",605141
"Marcus Semien",2025,"FA,FC,FS,SI,CH,SL,CU,KC",581,6.324237295524958,29.433366471600692,5.33547890636833,36.612688726333914,2177.6867469879517,101,88.60800000000005,102.4,108.7,17.47,3,0.0297029702970297,35,0.3465346534653465,"Marcus Semien","12533",543760
"Adolis García",2025,"FA,FC,FS,SI,CH,SL,CU,KC",601,8.41031461955075,26.708442429284524,6.201550268053242,38.03563728785358,2169.2579034941764,92,91.68021978021976,105.5,110.2,12.263736263736265,11,0.11956521739130435,44,0.4782608695652174,"Adolis Garcia","19287",666969
"Oneil Cruz",2025,"FA,FC,FS,SI,CH,SL,CU,KC",479,3.7060461021085587,33.324396158663895,0.7141661855949891,37.74485830897704,2360.705636743215,64,91.08906250000001,112.6,118.3,4.640625,9,0.140625,31,0.484375,"Oneil Cruz","21711",665833
"Victor Scott II",2025,"FA,FC,FS,SI,CH,SL,CU,KC",461,6.423277484880695,28.788296464208244,3.6236225167028207,39.92252491236443,2293.360086767896,81,85.94626865671641,100,105.8,12.507462686567164,1,0.012345679012345678,20,0.24691358024691357,"Victor Scott II","31349",687363
"Jonah Heim",2025,"FA,FC,FS,SI,CH,SL,CU,KC",531,7.764511237476459,27.49123376647834,5.292640876647836,39.961697853107346,2170.5574387947267,92,89.17912087912086,103.4,106.9,11.186813186813186,7,0.07608695652173914,42,0.45652173913043476,"Jonah Heim","16930",641680
"Josh Smith",2025,"FA,FC,FS,SI,CH,SL,CU,KC",508,6.684264427952752,29.158304586614157,2.8050916003937014,36.40335785433071,2283.6515748031497,79,82.11973684210525,97.1,101.8,16.276315789473685,0,0,9,0.11392405063291139,"Josh Smith","26396",669701
"Dylan Carlson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",280,8.600890971428571,26.752427142857137,3.7689777964285716,39.75383457142856,2232.817857142857,49,87.64999999999998,99.5,103.7,22.125,2,0.04081632653061224,16,0.32653061224489793,"Dylan Carlson","20126",666185
"Daulton Varsho",2025,"FA,FC,FS,SI,CH,SL,CU",208,6.952856298557691,29.20009759615385,3.5388783783653843,39.18401177884615,2239.110576923077,37,86.35294117647061,106.2,107.8,17.794117647058822,3,0.08108108108108109,14,0.3783783783783784,"Daulton Varsho","19918",662139
"Steven Kwan",2025,"FA,FC,FS,SI,CH,SL,CU,KC",845,8.017666602745559,27.181187396449694,4.656540465443787,37.64796940946745,2288.441420118343,189,84.22290502793294,97.2,103.7,13.899441340782124,0,0,28,0.14814814814814814,"Steven Kwan","24610",680757
"Tyler Fitzgerald",2025,"FA,FC,FS,SI,CH,SL,CU,KC",311,6.492187749196142,30.039118649517686,6.249403292926046,36.69214630225081,2123.6398713826366,40,82.0684210526316,99.9,107,15.31578947368421,1,0.025,8,0.2,"Tyler Fitzgerald","26208",666149
