Name,Season,Pitch,Pitches,Vertical Break,Vertical Drop,Horizontal Break,ArmAngle,SpinRate,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,NameASCII,PlayerId,MLBAMID
"Carson Kelly",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1173,6.688688600852514,27.7439231543052,-2.302525664083546,38.08160757971013,2378.3861892583122,204,88.75566502463055,103.2,106.6,16.9064039408867,19,0.09313725490196079,84,0.4117647058823529,"Carson Kelly","13620",608348
"Drake Baldwin",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1387,6.53404581989906,27.64467012256669,-5.754873814780105,34.68591007209805,2271.31290555155,265,92.0547169811321,106.6,112.5,8.4,29,0.10943396226415095,128,0.4830188679245283,"Drake Baldwin","31539",686948
"Dansby Swanson",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",2004,6.5685076801846325,28.232537100798403,-2.2714924076696614,37.50243535633733,2350.1626746506986,338,90.36985074626865,104.8,109.3,13.656716417910447,38,0.11242603550295859,155,0.45857988165680474,"Dansby Swanson","18314",621020
"Jazz Chisholm Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1564,6.629611536764707,28.390239865728894,-4.7618358297570325,37.2452919443734,2225.6918158567773,223,90.76171171171174,106,112.2,17.37837837837838,38,0.17040358744394618,102,0.45739910313901344,"Jazz Chisholm Jr.","20454",665862
"Edgar Quero",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1073,8.489781666821992,25.087076234855555,-5.598456504324324,35.00832834296366,2314.7567567567567,190,90.26157894736845,102,107.8,6.7105263157894735,8,0.042105263157894736,87,0.45789473684210524,"Edgar Quero","28022",700337
"Nick Gonzales",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1061,6.118548144580585,28.04095567389256,-2.8182227798303487,38.02155227426955,2318.64561734213,240,88.41806722689076,103.9,108.5,8.529411764705882,8,0.03333333333333333,88,0.36666666666666664,"Nick Gonzales","27490",693304
"Liam Hicks",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC,EP",1293,6.8616264201082755,28.631068909512745,-4.337293630162412,38.024809147718486,2239.709203402939,239,85.50762711864402,101.1,108.5,10.169491525423728,9,0.03765690376569038,73,0.3054393305439331,"Liam Hicks","29844",689414
"Manny Machado",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1937,6.685904306246773,27.62841171915334,-3.445875389778007,37.02372530562726,2327.421786267424,362,92.75292479108634,108.1,114.8,13.799442896935933,44,0.12154696132596685,186,0.5138121546961326,"Manny Machado","11493",592518
"Mike Yastrzemski",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1896,7.74598258666983,26.650493602320662,-4.591453034894513,38.08314030590717,2256.3960970464136,304,91.45170068027213,104.2,109.3,21.62372881355932,28,0.09210526315789473,139,0.45723684210526316,"Mike Yastrzemski","14854",573262
"Wenceel Pérez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1117,6.15677676357207,29.383938370635626,-3.0331648883616826,35.722828639212175,2219.715308863026,184,89.58043478260869,102.6,108.3,19.57608695652174,14,0.07608695652173914,70,0.3804347826086957,"Wenceel Perez","22857",672761
"Javier Báez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1065,6.49772274338028,29.13564225352113,-2.3341150541784033,37.14224623474177,2299.094835680751,213,87.78349056603777,103,110,12.084905660377359,10,0.046948356807511735,83,0.38967136150234744,"Javier Baez","12979",595879
"Francisco Lindor",2025,"FA,FC,FS,SI,CH,SL,CU,KC",2046,7.209908176930595,27.06461120234605,-4.477513929618768,37.22015783479962,2285.75366568915,348,91.86880466472306,104.6,112.9,14.793002915451895,35,0.10057471264367816,171,0.49137931034482757,"Francisco Lindor","12916",596019
"Pete Alonso",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1954,6.4071537955322455,28.02131332139201,-3.610234906243603,37.22085041453428,2342.6351074718527,350,94.08742857142855,110.4,115.9,15.582857142857144,67,0.19142857142857142,198,0.5657142857142857,"Pete Alonso","19251",624413
"Steven Kwan",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1941,7.5654758055641445,26.420283848531685,-5.702004704580114,35.72667182895415,2252.149407521896,391,87.11078947368422,98.6,104.2,16.371052631578948,11,0.028132992327365727,83,0.21227621483375958,"Steven Kwan","24610",680757
"Gabriel Arias",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1249,6.315383755324259,28.426436605284245,-2.480729748823058,35.005357892714166,2362.75420336269,198,90.51530612244898,108.1,112.8,7.061224489795919,24,0.12121212121212122,86,0.43434343434343436,"Gabriel Arias","22563",672356
"Joey Bart",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1004,6.962456368137447,26.98702868525896,-3.167334572808767,37.5856479944223,2365.1932270916336,148,88.54452054794521,108,113.1,7.664383561643835,16,0.10810810810810811,61,0.41216216216216217,"Joey Bart","21524",663698
"Nico Hoerner",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1832,6.758299030120086,27.408103842794773,-3.4213077242358088,36.694970481441025,2362.7308951965065,422,86.4769784172662,100.7,108.1,11.071942446043165,8,0.018957345971563982,126,0.2985781990521327,"Nico Hoerner","21479",663538
"Royce Lewis",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1060,7.406932146132071,26.738759047169815,-3.5376838459433957,36.76381459301887,2325.233962264151,212,89.69809523809526,105.3,113.7,16.8,19,0.08962264150943396,86,0.4056603773584906,"Royce Lewis","20437",668904
"Vinnie Pasquantino",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1950,6.724085076666669,27.633194528205117,-4.748468662000001,38.34313773671796,2240.080512820513,405,91.06517412935317,106,114.4,16.922885572139304,48,0.11851851851851852,184,0.454320987654321,"Vinnie Pasquantino","27676",686469
"Kyle Isbel",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1187,7.225901067902276,27.313895147430497,-4.107598496545913,38.415707682476835,2253.8416175231678,262,88.29382716049386,103.7,109.5,10.707818930041153,5,0.019083969465648856,99,0.37786259541984735,"Kyle Isbel","21614",664728
"Jo Adell",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1800,6.645782311611109,27.618919877777774,-3.09719483777222,36.94917163333334,2337.5866666666666,309,91.7481967213115,109,115.7,16.513071895424837,53,0.1715210355987055,151,0.4886731391585761,"Jo Adell","20220",666176
"Aaron Judge",2025,"FA,FC,FS,SI,CH,SL,CU,KC",2061,5.784690397311987,28.702443964095096,-2.6148652436196023,37.929675472586126,2314.208151382824,303,94.89800664451829,111.3,118.1,19.41528239202658,70,0.23102310231023102,170,0.5610561056105611,"Aaron Judge","15640",592450
"Bobby Witt Jr.",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1980,7.3266642179798,26.894079515151507,-2.4167138255101013,38.90641176717172,2329.1934343434345,404,92.7895,108.8,115.7,14.885,50,0.12376237623762376,191,0.47277227722772275,"Bobby Witt Jr.","25764",677951
"Seiya Suzuki",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1917,6.437912121310381,28.476603823682836,-2.2667042693145545,37.11040655712049,2354.9295774647885,302,90.99271523178805,106.5,116.2,17.625827814569536,49,0.16225165562913907,141,0.46688741721854304,"Seiya Suzuki","30116",673548
"Yandy Díaz",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1824,7.156717507072373,27.140521458333325,-4.539570250169957,37.73114682017546,2258.439144736842,351,91.98620689655172,109.2,113.4,3.839541547277937,29,0.08262108262108261,175,0.4985754985754986,"Yandy Diaz","16578",650490
"Chandler Simpson",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1126,7.603248254058613,26.58637575488454,-5.582135504085257,36.90797908525754,2223.788632326821,278,84.85396226415094,96.8,107.6,1.6353383458646618,0,0,49,0.17625899280575538,"Chandler Simpson","31912",802415
"Maikel Garcia",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC,EP",1973,7.109595982767353,27.114684896097323,-3.3701383375823624,38.39872494323366,2338.6553471870247,421,91.31135265700485,105.5,110.3,9.746376811594203,23,0.05463182897862233,190,0.4513064133016627,"Maikel Garcia","22715",672580
"Zach McKinstry",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1589,7.367918714159853,27.35296131529264,-4.763086245405916,37.34162479672749,2206.4738829452485,264,86.13244274809163,102.1,107.3,16.34732824427481,18,0.06818181818181818,84,0.3181818181818182,"Zach McKinstry","19392",656716
