Name,Season,Pitch,Pitches,H-Swing%,H-Contact%,H-Zone%,S-Swing%,S-Contact%,S-Zone%,C-Swing%,C-Contact%,C-Zone%,W-Swing%,W-Contact%,W-Zone%,NameASCII,PlayerId,MLBAMID
"Gleyber Torres",2025,"FA,FC,FS,SI,CH,SL,CU,KC",764,0.703125,0.9185185185185185,0.2513089005235602,0.4,0.7835820895522388,0.43848167539267013,0.09090909090909091,0.4,0.21596858638743455,0,0,0.09424083769633508,"Gleyber Torres","16997",650402
"Rafael Devers",2025,"FA,FC,FS,SI,CH,SL,CU,KC",960,0.7781350482315113,0.7851239669421488,0.3229166666666667,0.5380577427821522,0.7268292682926829,0.396875,0.20918367346938777,0.5853658536585366,0.203125,0.041666666666666664,0,0.075,"Rafael Devers","17350",646240
"Taylor Walls",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,0.7096774193548387,0.8977272727272727,0.328042328042328,0.5089820359281437,0.7529411764705882,0.4417989417989418,0.11940298507462686,0.5,0.17724867724867724,0,0,0.05291005291005291,"Taylor Walls","22458",670764
"Orlando Arcia",2025,"FA,FC,FS,SI,CH,SL,CU,KC",192,0.8070175438596491,0.8478260869565217,0.296875,0.6666666666666666,0.7962962962962963,0.421875,0.17073170731707318,0.42857142857142855,0.21354166666666666,0,0,0.06770833333333333,"Orlando Arcia","13185",606115
"Nolan Arenado",2025,"FA,FC,FS,SI,CH,SL,CU,KC",378,0.7311827956989247,0.9558823529411765,0.24603174603174602,0.6219512195121951,0.8725490196078431,0.43386243386243384,0.358695652173913,0.6666666666666666,0.24338624338624337,0.034482758620689655,0,0.07671957671957672,"Nolan Arenado","9777",571448
"Jonah Heim",2025,"FA,FC,FS,SI,CH,SL,CU,KC",531,0.8013245033112583,0.859504132231405,0.2843691148775895,0.49795918367346936,0.7786885245901639,0.4613935969868173,0.24742268041237114,0.375,0.1807909604519774,0.05263157894736842,0.5,0.07156308851224105,"Jonah Heim","16930",641680
"Yandy Díaz",2025,"FA,FC,FS,SI,CH,SL,CU",694,0.7315789473684211,0.9496402877697842,0.2737752161383285,0.5,0.8552631578947368,0.43804034582132567,0.2119205298013245,0.78125,0.21757925072046108,0.04081632653061224,0.5,0.07060518731988473,"Yandy Diaz","16578",650490
"Junior Caminero",2025,"FA,FC,FS,SI,CH,SL,CU,KC",740,0.7272727272727273,0.8194444444444444,0.26756756756756755,0.57,0.783625730994152,0.40405405405405403,0.24598930481283424,0.5652173913043478,0.2527027027027027,0.07272727272727272,0.25,0.07432432432432433,"Junior Caminero","28163",691406
"Dylan Carlson",2025,"FA,FC,FS,SI,CH,SL,CU,KC",280,0.75,0.8787878787878788,0.3107142857142857,0.5203252032520326,0.734375,0.4392857142857143,0.16666666666666666,0.25,0.17142857142857143,0,0,0.075,"Dylan Carlson","20126",666185
"Victor Scott II",2025,"FA,FC,FS,SI,CH,SL,CU,KC",461,0.6549295774647887,0.956989247311828,0.3080260303687636,0.5333333333333333,0.6041666666666666,0.39045553145336226,0.125,0.15384615384615385,0.22342733188720174,0.08571428571428572,0.3333333333333333,0.07592190889370933,"Victor Scott II","31349",687363
"Randal Grichuk",2025,"FA,FC,FS,SI,CH,SL,CU,KC",657,0.7297297297297297,0.9481481481481482,0.2815829528158295,0.5448275862068965,0.810126582278481,0.441400304414003,0.2765957446808511,0.3076923076923077,0.213089802130898,0,0,0.0624048706240487,"Randal Grichuk","10243",545341
"Max Muncy",2025,"FA,FC,FS,SI,CH,SL,CU,KC",336,0.6585365853658537,0.8333333333333334,0.24404761904761904,0.4935897435897436,0.7272727272727273,0.4642857142857143,0.17142857142857143,0.5833333333333334,0.20833333333333334,0.10714285714285714,0,0.08333333333333333,"Max Muncy","13301",571970
"Juan Soto",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1015,0.6350877192982456,0.8674033149171271,0.28078817733990147,0.423444976076555,0.7401129943502824,0.41182266009852214,0.14410480349344978,0.48484848484848486,0.2246305418719212,0.04819277108433735,0,0.08177339901477833,"Juan Soto","20123",665742
"Daulton Varsho",2025,"FA,FC,FS,SI,CH,SL,CU",208,0.8064516129032258,0.82,0.2980769230769231,0.5632183908045977,0.7959183673469388,0.4182692307692308,0.2558139534883721,0.18181818181818182,0.20673076923076922,0.125,0,0.07692307692307693,"Daulton Varsho","19918",662139
"Vinnie Pasquantino",2025,"FA,FC,SI,CH,SL,CU,KC",622,0.7388888888888889,0.9172932330827067,0.28938906752411575,0.5437956204379562,0.8053691275167785,0.4405144694533762,0.25,0.41935483870967744,0.19935691318327975,0.06818181818181818,0,0.0707395498392283,"Vinnie Pasquantino","27676",686469
"Bryce Harper",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC",850,0.865,0.8265895953757225,0.23411764705882354,0.6823529411764706,0.6724137931034483,0.4,0.39906103286384975,0.4235294117647059,0.24941176470588236,0.08247422680412371,0,0.11411764705882353,"Bryce Harper","11579",547180
"Kyle Schwarber",2025,"FA,FC,FS,SI,CH,SL,CU,KN,KC",1183,0.6809116809116809,0.7656903765690377,0.2967032967032967,0.4573304157549234,0.6698564593301436,0.38546069315300086,0.16793893129770993,0.3409090909090909,0.22147083685545224,0.05309734513274336,0,0.09467455621301775,"Kyle Schwarber","16478",656941
"James Wood",2025,"FA,FC,FS,SI,CH,SL,CU,KC",921,0.6181818181818182,0.8294117647058824,0.2975027144408252,0.4919786096256685,0.6467391304347826,0.40608034744842564,0.23267326732673269,0.40425531914893614,0.21932681867535286,0.12857142857142856,0.2222222222222222,0.0749185667752443,"James Wood","29518",695578
"Nick Castellanos",2025,"FA,FC,FS,SI,CH,SL,CU,KC",704,0.8713450292397661,0.8791946308724832,0.24289772727272727,0.7214285714285714,0.7673267326732673,0.3977272727272727,0.41621621621621624,0.44155844155844154,0.2627840909090909,0.07352941176470588,0,0.09659090909090909,"Nick Castellanos","11737",592206
"Maikel Garcia",2025,"FA,FC,FS,SI,CH,SL,CU,KC",546,0.5637583892617449,0.9523809523809523,0.27289377289377287,0.43776824034334766,0.8431372549019608,0.4267399267399267,0.225,0.4074074074074074,0.21978021978021978,0,0,0.08058608058608059,"Maikel Garcia","22715",672580
"Jeremy Peña",2025,"FA,FC,FS,SI,CH,SL,CU,KC",353,0.8,0.9027777777777778,0.254957507082153,0.6242038216560509,0.7244897959183674,0.44192634560906513,0.36,0.37037037037037035,0.21246458923512748,0.06451612903225806,0,0.08781869688385269,"Jeremy Pena","21636",665161
"Ty France",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",575,0.7916666666666666,0.9210526315789473,0.24869565217391304,0.5939849624060151,0.7784810126582279,0.46260869565217394,0.2396694214876033,0.5517241379310345,0.21043478260869566,0.045454545454545456,0.5,0.07652173913043478,"Ty France","17982",664034
"J.P. Crawford",2025,"FA,FC,FS,SI,CH,SL,CU,KC",850,0.6908396946564885,0.861878453038674,0.3070588235294118,0.4112676056338028,0.8082191780821918,0.4176470588235294,0.17142857142857143,0.5,0.20470588235294118,0.05172413793103448,0.3333333333333333,0.06823529411764706,"J.P. Crawford","15491",641487
"Mookie Betts",2025,"FA,FC,FS,SI,CH,SL,CU,KC",701,0.6802325581395349,0.9658119658119658,0.24536376604850213,0.4521452145214521,0.8394160583941606,0.4322396576319544,0.1686746987951807,0.6428571428571429,0.23537803138373753,0.05,0,0.08559201141226819,"Mookie Betts","13611",605141
"Marcus Semien",2025,"FA,FC,FS,SI,CH,SL,CU,KC",581,0.8478260869565217,0.905982905982906,0.23580034423407917,0.4943820224719101,0.6742424242424242,0.459552495697074,0.1171875,0.4666666666666667,0.22030981067125646,0.020833333333333332,0,0.08261617900172118,"Marcus Semien","12533",543760
