Name,Season,Pitch,Pitches,H-Swing%,H-Contact%,H-Zone%,S-Swing%,S-Contact%,S-Zone%,C-Swing%,C-Contact%,C-Zone%,W-Swing%,W-Contact%,W-Zone%,NameASCII,PlayerId,MLBAMID
"Aaron Judge",2025,"FA,FC,FS,SI,CH,SL,CU,KC",2061,0.751004016064257,0.8636363636363636,0.24163027656477437,0.48639455782312924,0.62004662004662,0.4269771955361475,0.18585858585858586,0.2391304347826087,0.24017467248908297,0.010752688172043012,0,0.08976225133430374,"Aaron Judge","15640",592450
"Jazz Chisholm Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1564,0.75,0.8350877192982457,0.24232736572890026,0.509090909090909,0.6565934065934066,0.4571611253196931,0.2182890855457227,0.33783783783783783,0.21611253196930946,0.038461538461538464,0,0.08312020460358056,"Jazz Chisholm Jr.","20454",665862
"Manny Machado",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1937,0.7884615384615384,0.8658536585365854,0.2679401135776975,0.5394896719319563,0.7567567567567568,0.42488384099122356,0.25057471264367814,0.3761467889908257,0.22457408363448633,0.06918238993710692,0.5454545454545454,0.08208569953536396,"Manny Machado","11493",592518
"Luis Arraez",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1707,0.639763779527559,0.9876923076923076,0.29701230228471004,0.5535714285714286,0.9652605459057072,0.4253075571177504,0.3125,0.9238095238095239,0.19625073227885179,0.05925925925925926,0.5,0.07908611599297012,"Luis Arraez","18568",650333
"Carson Kelly",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1173,0.7151162790697675,0.9146341463414634,0.2932651321398124,0.4621676891615542,0.7876106194690266,0.41602728047740833,0.12903225806451613,0.4375,0.21142369991474852,0.010869565217391304,0,0.0784313725490196,"Carson Kelly","13620",608348
"Dansby Swanson",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",2004,0.8014440433212996,0.8265765765765766,0.27644710578842313,0.5519630484988453,0.6820083682008368,0.43213572854291415,0.17535545023696683,0.35135135135135137,0.21057884231536927,0.024691358024691357,0,0.08083832335329341,"Dansby Swanson","18314",621020
"Vladimir Guerrero Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1901,0.6783505154639176,0.8875379939209727,0.25460284061020516,0.463785046728972,0.7858942065491183,0.4492372435560231,0.1566265060240964,0.5230769230769231,0.2183061546554445,0.09655172413793103,0.14285714285714285,0.07627564439768543,"Vladimir Guerrero Jr.","19611",665489
"Bo Bichette",2025,"FA,FC,FS,SI,CH,SL,CU,KC,EP",1804,0.7602591792656588,0.9204545454545454,0.2566518847006652,0.5796178343949044,0.8395604395604396,0.4351441241685144,0.2704714640198511,0.6055045871559633,0.22339246119733924,0.09803921568627451,0,0.08481152993348115,"Bo Bichette","19612",666182
"Fernando Tatis Jr.",2025,"FA,FC,FS,SI,CH,SL,CU,KC",1925,0.806,0.8238213399503722,0.25922077922077924,0.474390243902439,0.7686375321336761,0.42597402597402595,0.16666666666666666,0.2857142857142857,0.21766233766233767,0.05945945945945946,0,0.09558441558441559,"Fernando Tatis Jr.","19709",665487
"Vinnie Pasquantino",2025,"FA,FC,FO,FS,SI,CH,SL,CU,KC",1950,0.695906432748538,0.9411764705882353,0.2630769230769231,0.5358851674641149,0.8638392857142857,0.4287179487179487,0.23696682464454977,0.46,0.2153846153846154,0.05027932960893855,0.1111111111111111,0.0917948717948718,"Vinnie Pasquantino","27676",686469
